species,plot,seeds,CLAPUR,COLLIN,COLLOM,EPIDEN,GILCAP,NAVSQU,PLAFIG,PLECON
COLLOM,DIVERSE,15,1,2,2,1,4,14,0,0
COLLOM,DIVERSE,60,1,1,6,9,1,0,3,1
COLLOM,DIVERSE,12,0,3,2,0,1,0,0,1
COLLOM,DIVERSE,36,2,0,3,5,1,12,0,2
COLLOM,DIVERSE,24,0,1,2,1,0,4,0,0
COLLOM,DIVERSE,6,1,0,1,0,0,0,0,0
COLLOM,DIVERSE,51,0,0,1,0,0,3,0,0
COLLOM,DIVERSE,27,0,0,2,0,0,0,0,0
COLLOM,DIVERSE,30,6,3,2,1,1,0,0,2
COLLOM,DIVERSE,39,1,0,1,1,1,2,0,0
COLLOM,DIVERSE,36,1,3,1,0,0,0,0,1
COLLOM,DIVERSE,60,2,0,5,2,1,5,0,0
COLLOM,DIVERSE,45,0,2,8,0,0,1,2,0
COLLOM,DIVERSE,30,3,3,2,1,0,1,0,0
COLLOM,DIVERSE,33,0,0,3,3,0,1,0,0
COLLOM,DIVERSE,24,7,0,3,2,0,4,0,0
COLLOM,DIVERSE,30,1,0,1,5,7,3,0,0
COLLOM,DIVERSE,27,5,0,1,0,0,1,0,0
COLLOM,DIVERSE,45,4,1,1,1,12,2,0,0
COLLOM,DIVERSE,30,4,0,3,2,5,0,0,0
COLLOM,DIVERSE,48,1,0,1,2,0,1,0,0
COLLOM,DIVERSE,63,1,0,1,4,0,8,0,0
COLLOM,DIVERSE,36,0,0,1,1,0,8,0,1
COLLOM,DIVERSE,54,0,0,2,1,1,17,0,0
COLLOM,DIVERSE,36,0,0,1,1,3,25,1,0
NAVSQU,DIVERSE,580,0,1,0,1,1,10,0,0
NAVSQU,DIVERSE,660,0,1,6,3,3,7,1,0
NAVSQU,DIVERSE,2640,0,0,1,1,2,1,0,0
NAVSQU,DIVERSE,120,2,2,0,0,1,12,0,0
NAVSQU,DIVERSE,200,3,1,2,3,1,19,1,0
NAVSQU,DIVERSE,160,1,0,2,0,0,1,0,0
NAVSQU,DIVERSE,140,0,0,1,0,0,1,0,0
NAVSQU,DIVERSE,100,0,0,0,0,0,6,0,0
NAVSQU,DIVERSE,420,1,0,1,0,0,6,0,0
NAVSQU,DIVERSE,720,1,1,3,8,2,25,1,1
NAVSQU,DIVERSE,120,10,5,5,0,0,1,0,0
NAVSQU,DIVERSE,280,13,0,2,6,0,1,0,0
NAVSQU,DIVERSE,100,1,0,0,2,0,0,0,1
NAVSQU,DIVERSE,120,1,2,1,0,0,0,0,0
NAVSQU,DIVERSE,460,6,0,0,2,2,16,0,0
NAVSQU,DIVERSE,300,4,0,1,1,4,1,0,0
NAVSQU,DIVERSE,260,1,0,1,2,5,8,0,0
NAVSQU,DIVERSE,280,2,0,1,4,5,6,0,0
NAVSQU,DIVERSE,140,3,2,2,6,3,4,1,1
NAVSQU,DIVERSE,740,0,1,0,2,6,7,0,0
NAVSQU,DIVERSE,640,1,0,1,0,3,1,0,0
NAVSQU,DIVERSE,160,2,0,3,1,4,6,0,0
NAVSQU,DIVERSE,560,2,0,1,1,0,3,0,0
NAVSQU,DIVERSE,580,2,1,0,3,3,28,0,0
NAVSQU,DIVERSE,380,1,0,1,1,1,15,0,0
NAVSQU,DIVERSE,140,2,1,0,0,4,8,0,0
NAVSQU,DIVERSE,860,2,1,0,2,11,25,0,0
NAVSQU,DIVERSE,380,0,1,0,2,6,29,0,0
NAVSQU,DIVERSE,400,0,0,0,0,11,7,0,0
CLAPUR,DIVERSE,60,2,0,1,0,3,9,0,1
CLAPUR,DIVERSE,20,11,0,1,1,1,2,1,1
