species,plot,seeds,CLAPUR,COLLIN,COLLOM,EPIDEN,GILCAP,NAVSQU,PLAFIG,PLECON
COLLOM,DIVERSE,0,1,0,6,7,0,12,0,0
COLLOM,DIVERSE,0,1,1,8,6,4,6,0,1
COLLOM,DIVERSE,24,0,0,3,1,1,0,0,0
COLLOM,DIVERSE,42,1,1,7,1,3,1,0,0
COLLOM,DIVERSE,24,1,1,6,1,2,3,0,0
COLLOM,DIVERSE,156,3,2,2,5,1,6,0,0
COLLOM,DIVERSE,402,5,1,5,2,2,4,0,0
COLLOM,DIVERSE,33,3,1,2,5,5,14,0,0
COLLOM,DIVERSE,30,0,0,1,1,1,1,0,0
COLLOM,DIVERSE,9,3,0,3,3,1,21,0,0
COLLOM,DIVERSE,102,1,0,0,2,2,1,0,0
COLLOM,DIVERSE,24,2,0,3,4,1,2,0,0
COLLOM,DIVERSE,60,0,3,1,1,1,9,1,0
COLLOM,DIVERSE,18,0,1,11,3,5,13,0,0
COLLOM,DIVERSE,51,0,3,12,6,4,27,0,0
COLLOM,DIVERSE,15,0,1,12,5,4,20,0,1
COLLOM,DIVERSE,144,1,1,9,5,2,9,0,0
COLLOM,DIVERSE,24,1,0,5,5,0,6,0,0
COLLOM,DIVERSE,24,3,0,4,8,0,2,0,0
COLLOM,DIVERSE,18,5,0,2,4,1,2,0,0
COLLOM,DIVERSE,12,0,3,3,0,1,0,0,1
COLLOM,DIVERSE,57,3,2,2,9,5,9,0,1
COLLOM,DIVERSE,93,3,1,7,4,5,12,0,0
COLLOM,DIVERSE,30,7,1,2,9,4,34,4,1
COLLOM,DIVERSE,48,2,0,4,1,1,4,0,0
COLLOM,DIVERSE,18,5,2,10,7,1,25,0,0
COLLOM,DIVERSE,30,0,1,9,8,9,28,0,0
COLLOM,DIVERSE,51,1,3,2,4,4,19,0,0
COLLOM,DIVERSE,207,1,1,1,3,0,32,0,0
COLLOM,DIVERSE,81,0,2,6,2,4,18,0,0
COLLOM,DIVERSE,42,0,0,1,1,0,8,0,0
COLLOM,DIVERSE,87,7,0,1,1,0,5,0,0
COLLOM,DIVERSE,285,0,0,4,1,0,0,0,0
COLLOM,DIVERSE,108,2,0,3,1,0,9,0,0
COLLOM,DIVERSE,147,6,0,3,0,0,2,0,0
COLLOM,DIVERSE,498,4,1,12,1,3,5,0,0
COLLOM,DIVERSE,279,3,0,5,0,2,7,0,0
COLLOM,DIVERSE,18,3,1,3,0,0,1,1,0
NAVSQU,DIVERSE,1220,2,3,8,5,5,53,0,0
NAVSQU,DIVERSE,420,0,0,0,6,5,4,0,0
NAVSQU,DIVERSE,240,6,0,6,5,3,5,0,0
NAVSQU,DIVERSE,5820,2,2,0,1,1,2,0,0
NAVSQU,DIVERSE,220,3,0,10,1,5,10,0,0
NAVSQU,DIVERSE,80,1,0,3,0,0,1,0,0
NAVSQU,DIVERSE,160,1,0,0,3,2,11,0,0
