"","focal","seeds","PLOT","PARK","A","C","CAMAS","CHICKWEED","CLAPUR","CLOVER","COLLIN","COLLOM","D","DAUCUS","EPICIL","EPIDEN","ERILAN","F","FRLA","G","GALIUM","GERANIUM","GILCAP","H","I","J","JUNCUS","LACTUCA","LEUVUL","LINBIE","LUPBIC","MADIA","MYO","NAVSQU","PLAFIG","PLANTAIN","PLECON","SCARLET PIMPERNEL","SEDGE","SHEARV","VERARV","VICIA"
"1","CLAPUR",2,"DIVERSE","BR","0","0","0","0","1","0","1","1","0","0","0","0","0","3","0","0","1","0","1","0","0","0","0","0","0","0","0","9","1","26","0","0","1","0","0","0","0","0"
"2","CLAPUR",3,"DIVERSE","BR","0","2","0","0","4","0","3","2","0","0","0","4","0","3","0","0","1","0","3","0","0","0","0","0","0","4","0","0","1","19","0","0","2","0","0","0","1","0"
"3","CLAPUR",2,"DIVERSE","BR","0","2","0","0","4","0","4","1","0","5","0","0","0","1","0","0","1","0","2","0","0","0","0","1","0","3","0","9","0","4","0","0","0","0","0","0","0","0"
"4","CLAPUR",7,"DIVERSE","BR","0","1","0","0","1","0","5","0","0","6","0","0","0","4","0","0","0","1","0","0","0","0","0","5","0","3","0","9","0","1","0","1","0","0","1","0","0","0"
"5","CLAPUR",13,"DIVERSE","BR","4","1","1","0","2","0","3","1","0","0","0","3","0","2","0","0","0","0","6","0","2","0","0","0","0","2","0","2","1","3","0","0","0","0","0","0","0","0"
"6","CLAPUR",2,"DIVERSE","BR","0","0","0","0","1","0","2","0","0","1","0","6","0","1","0","0","1","3","10","0","0","0","0","1","0","2","0","1","0","4","1","0","0","0","0","0","0","0"
"7","CLAPUR",3,"DIVERSE","BR","0","1","0","0","2","0","0","1","0","0","0","0","0","1","0","0","1","1","3","0","0","0","0","3","1","5","0","0","1","9","0","0","1","0","0","4","0","0"
"8","CLAPUR",2,"DIVERSE","BR","0","0","0","0","4","0","0","1","0","3","0","0","0","1","0","0","2","1","4","0","0","0","0","1","0","5","0","1","1","4","0","0","0","0","0","0","0","0"
"9","CLAPUR",4,"DIVERSE","BR","1","0","0","0","1","0","0","0","0","1","0","2","0","2","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"10","CLAPUR",2,"DIVERSE","BR","0","1","2","1","1","0","0","0","0","0","0","1","0","1","0","0","1","0","2","0","0","0","0","0","0","4","0","1","1","14","0","0","0","0","0","0","0","0"
"11","CLAPUR",1,"DIVERSE","BR","1","1","0","1","4","0","0","2","0","0","0","1","0","3","0","1","2","0","2","0","0","0","0","0","0","4","0","0","0","12","0","0","1","0","0","2","0","0"
"12","CLAPUR",6,"DIVERSE","BR","0","1","0","0","5","0","0","1","0","1","0","3","0","0","0","0","1","0","5","0","0","0","0","2","0","2","0","0","0","15","0","0","0","0","0","0","0","0"
"13","CLAPUR",6,"DIVERSE","BR","0","0","0","0","4","0","0","1","0","1","0","0","0","5","0","0","1","0","0","1","0","0","0","0","0","1","0","14","1","0","0","0","0","0","0","0","0","0"
"14","CLAPUR",1,"DIVERSE","BR","0","0","0","0","10","0","3","1","0","2","0","1","0","0","0","0","1","1","1","0","0","0","0","5","2","1","0","13","0","0","0","1","0","0","0","0","0","0"
"15","CLAPUR",1,"DIVERSE","BR","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","4","0","8","1","0","0","0","0","0","0","0","0","0"
"16","CLAPUR",1,"DIVERSE","BR","0","0","0","1","0","0","2","0","0","1","0","0","0","2","0","0","0","1","0","0","0","0","0","2","8","0","0","10","0","1","0","0","0","0","0","0","0","0"
"17","CLAPUR",2,"DIVERSE","BR","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0"
"18","CLAPUR",4,"DIVERSE","BR","0","0","0","0","11","0","0","0","0","1","0","0","0","1","0","0","1","2","0","0","0","0","0","1","0","3","0","3","0","1","0","0","0","0","0","0","0","1"
"19","CLAPUR",5,"DIVERSE","BR","0","0","1","0","0","0","0","12","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"20","CLAPUR",5,"DIVERSE","BR","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","3","0","0","0","0","1","0","0","0","0","0"
"21","CLAPUR",1,"DIVERSE","BR","0","0","0","0","9","0","0","3","0","4","0","0","0","5","0","0","0","1","1","0","0","0","1","1","0","4","0","1","0","0","1","0","1","0","0","2","0","0"
"22","CLAPUR",5,"DIVERSE","BR","0","1","1","0","1","0","2","1","0","3","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","3","0","6","0","0","0","0","0","0","0","0","0","0"
"23","CLAPUR",1,"DIVERSE","BR","0","0","0","1","12","0","0","2","0","3","0","4","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","2","2","4","1","0","0","1","0","0","0","0"
"24","CLAPUR",5,"DIVERSE","BR","0","3","0","0","3","0","2","1","0","5","0","3","0","2","0","0","1","0","0","0","0","0","0","2","0","0","0","2","1","1","0","0","1","0","0","0","0","0"
"25","CLAPUR",1,"DIVERSE","BR","2","0","0","0","11","0","0","1","0","3","0","1","1","0","0","0","1","0","1","0","0","0","0","2","0","2","0","0","0","2","1","0","1","0","0","0","0","0"
"26","CLAPUR",2,"DIVERSE","BR","0","0","0","0","4","0","0","3","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","5","0","0","1","0","0","0","0","0","0","0"
"27","CLAPUR",4,"DIVERSE","BR","0","0","0","1","1","0","0","3","0","0","0","1","0","1","0","1","2","0","2","0","1","0","0","0","0","3","0","1","1","8","0","2","0","0","0","0","0","0"
"28","CLAPUR",4,"DIVERSE","BR","0","3","0","0","1","0","0","3","0","0","1","1","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0"
