"park","plot","species","rep","date","plot.1","subplot","height","biomass","topfr","sidefr","notes","fruits","seeds","unique","focal_collect","PLECON","NAVSQU","PLAFIG","EPIDEN","GILCAP","COLLIN","CLAPUR","COLLOM","LACTUCA","MYO","CHICKWEED","VICIA","MADIA","LEUVUL","DAUCUS","LINBIE","PLANTAIN","GERANIUM","GALIUM","SHEARV","CAMAS","CLOVER","J","C","F","G","H","I","VERARV","A","SEDGE","EPICIL","ERILAN","JUNCUS","SCARLET.PIMPERNEL","LUPBIC","D","FRLA"
"BR","DIVERSE","COLLOM",1,"7/25/24",13,"B3",14.9,"0.11",5,0,NA,5,15,"BR-DIVERSE-13-B3",NA,0,14,0,1,4,2,1,2,0,0,0,0,2,0,3,6,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"BR","DIVERSE","COLLOM",2,"7/24/24",4,"D5",24.2,"0.705",20,0,NA,20,60,"BR-DIVERSE-4-D5",NA,1,0,3,9,1,1,1,6,0,0,1,1,4,2,1,3,2,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",3,"7/24/24",2,"A3",11.7,"0.185",3,1,"1 really small fruit (not counted) and 1 normal on side fruit",4,12,"BR-DIVERSE-2-A3",NA,1,0,0,0,1,3,0,2,1,1,0,0,4,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",4,"7/24/24",1,"B1",13.8,NA,NA,NA,NA,12,36,"BR-DIVERSE-1-B1",NA,2,12,0,5,1,0,2,3,1,0,0,0,3,1,1,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",5,"7/24/24",1,"D2",6.5,NA,NA,NA,NA,8,24,"BR-DIVERSE-1-D2",NA,0,4,0,1,0,1,0,2,0,0,0,0,4,3,2,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",6,"7/24/24",1,"C4",6.9,"0.016",2,0,NA,2,6,"BR-DIVERSE-1-C4",NA,0,0,0,0,0,0,1,1,4,1,0,0,8,0,5,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",7,"7/24/24",2,"D4",7.1,"0.66",9,2,NA,17,51,"BR-DIVERSE-2-D4",NA,0,3,0,0,0,0,0,1,1,0,0,0,6,0,0,1,0,0,1,0,0,0,0,1,5,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",8,"7/24/24",2,"E3",7.6,NA,NA,NA,NA,9,27,"BR-DIVERSE-2-E3",NA,0,0,0,0,0,0,0,2,2,0,2,0,11,0,2,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",9,"7/24/24",3,"C1",9.6,NA,NA,NA,NA,10,30,"BR-DIVERSE-3-C1",NA,2,0,0,1,1,3,6,2,0,4,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",10,"7/24/24",3,"B5",15.1,NA,NA,NA,NA,13,39,"BR-DIVERSE-3-B5",NA,0,2,0,1,1,0,1,1,2,1,0,0,2,0,2,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
