"park","plot","species","rep","date","plot.1","subplot","height","biomass","topfr","sidefr","notes","fruits","seeds","unique","PLECON","NAVSQU","PLAFIG","EPIDEN","GILCAP","COLLIN","CLAPUR","COLLOM","LACTUCA","SHEARV","GERANIUM","CERGLO","MADIA","LATHVIC","MYOSOTIS","ERILAN","NAVINT","DAUCAR","A","B","C","DANDEION","TRIFOLIUM","CLAAMO"
"RF","DIVERSE","COLLOM",1,"7/4/24",1,"C3",39.9,"0.62",17,0,NA,17,51,"RF-DIVERSE-1-C3",4,6,2,8,0,9,5,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RF","DIVERSE","COLLOM",2,"7/8/24",3,"D4",51.9,"1.855",64,0,NA,64,192,"RF-DIVERSE-3-D4",1,3,5,6,0,2,4,3,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0
"RF","DIVERSE","COLLOM",3,"7/8/24",2,"A3",43.2,"0.941",41,0,NA,41,123,"RF-DIVERSE-2-A3",1,5,4,17,8,16,4,27,2,1,0,0,0,0,0,0,10,0,0,2,0,0,0,0
"RF","DIVERSE","COLLOM",4,"7/4/24",1,"A5",33.6,"0.341",13,0,NA,13,39,"RF-DIVERSE-1-A5",1,4,3,12,1,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RF","DIVERSE","COLLOM",5,"7/4/24",1,"E4",40,NA,NA,NA,NA,27,81,"RF-DIVERSE-1-E4",0,3,3,8,4,5,2,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RF","DIVERSE","COLLOM",6,"7/8/24",2,"B1",41.6,NA,NA,NA,NA,30,90,"RF-DIVERSE-2-B1",4,14,4,15,11,18,4,32,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"RF","DIVERSE","COLLOM",7,"7/8/24",2,"C4",31.3,"0.3174",12,0,NA,12,36,"RF-DIVERSE-2-C4",8,8,8,9,9,27,5,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RF","DIVERSE","COLLOM",8,"7/8/24",3,"E3",32.5,NA,NA,NA,NA,16,48,"RF-DIVERSE-3-E3",0,3,4,14,16,7,3,34,0,2,1,3,0,0,0,0,2,0,0,2,0,0,0,0
"RF","DIVERSE","COLLOM",9,"7/8/24",3,"A3",28.3,NA,NA,NA,NA,12,36,"RF-DIVERSE-3-A3",1,5,1,20,0,6,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"RF","DIVERSE","COLLOM",10,"7/8/24",4,"A2",42.2,NA,NA,NA,NA,32,96,"RF-DIVERSE-4-A2",0,11,3,4,3,3,1,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"RF","DIVERSE","COLLOM",11,"7/8/24",4,"B3",31.4,NA,NA,NA,NA,15,45,"RF-DIVERSE-4-B3",0,5,0,11,4,7,2,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RF","DIVERSE","COLLOM",12,"7/8/24",4,"B1",20,NA,NA,NA,NA,7,21,"RF-DIVERSE-4-B1",1,7,1,1,2,6,2,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RF","DIVERSE","COLLOM",13,"7/8/24",4,"D1",17.6,NA,NA,NA,NA,6,18,"RF-DIVERSE-4-D1",1,14,1,3,4,9,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RF","DIVERSE","COLLOM",14,"7/10/24",5,"A1",34.6,NA,NA,NA,NA,18,54,"RF-DIVERSE-5-A1",0,4,1,9,0,1,1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"RF","DIVERSE","COLLOM",14,"7/10/24",5,"A1",34.6,NA,NA,NA,NA,18,54,"RF-DIVERSE-5-A1",0,4,1,9,0,1,1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"RF","DIVERSE","COLLOM",15,"7/10/24",5,"B2",28.6,NA,NA,NA,NA,12,36,"RF-DIVERSE-5-B2",0,30,4,8,4,12,0,7,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
"RF","DIVERSE","COLLOM",15,"7/10/24",5,"E1",28.6,"0.907",17,0,NA,17,51,"RF-DIVERSE-5-E1",1,10,1,24,1,3,6,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"RF","DIVERSE","COLLOM",16,"7/10/24",5,"D5",44.3,"1.4582",34,0,NA,37,111,"RF-DIVERSE-5-D5",2,11,0,16,3,2,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"RF","DIVERSE","COLLOM",17,"7/10/24",5,"C4",38.8,NA,NA,NA,NA,25,75,"RF-DIVERSE-5-C4",0,17,2,9,1,1,6,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
