"park","plot","species","rep","date","plot.1","subplot","height","biomass","topfr","sidefr","notes","fruits","seeds","unique","focal_collect","PLECON","NAVSQU","PLAFIG","EPIDEN","GILCAP","COLLIN","CLAPUR","COLLOM","LACTUCA","SHEARV","GALIUM","LATHVIC","ERILAN","DAUCAR","APOAND","LUPBIC","LEUVUL","TRIFOLIUM","MYOSOTIS","CERGLO","GERANIUM","D","F","G","Z","HYPERNICUM","CIRSIUM","VERARV"
"SEM","DIVERSE","COLLOM",2,"7/22/24",5,"D1",8.5,"0.1087",0,0,"BT no fruits?",0,0,"SEM-DIVERSE-5-D1","Y",0,12,0,7,0,0,1,6,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",3,"7/19/24",3,"C5",9.6,"0.1783",0,5,"BT",0,0,"SEM-DIVERSE-3-C5","Y",1,6,0,6,4,1,1,8,0,7,3,2,0,0,0,0,0,2,0,0,1,0,0,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",4,"7/19/24",4,"E1",13.7,"0.5235",0,8,"BT",8,24,"SEM-DIVERSE-4-E1","Y",0,0,0,1,1,0,0,3,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",5,"7/19/24",4,"D1",13.7,NA,NA,NA,NA,14,42,"SEM-DIVERSE-4-D1","Y",0,1,0,1,3,1,1,7,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",6,"7/19/24",4,"B1",10.8,NA,NA,NA,NA,8,24,"SEM-DIVERSE-4-B1","Y",0,3,0,1,2,1,1,6,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",7,"7/19/24",4,"C4",19.8,NA,NA,NA,NA,52,156,"SEM-DIVERSE-4-C4","Y",0,6,0,5,1,2,3,2,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",8,"7/19/24",4,"A3",24.2,NA,NA,NA,NA,134,402,"SEM-DIVERSE-4-A3","Y",0,4,0,2,2,1,5,5,0,3,9,7,0,0,1,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",8,"7/19/24",1,"D2",12.5,NA,NA,NA,NA,11,33,"SEM-DIVERSE-1-D2","Y",0,14,0,5,5,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"SEM","DIVERSE","COLLOM",9,"7/19/24",4,"B3",12.1,NA,NA,NA,NA,10,30,"SEM-DIVERSE-4-B3","Y",0,1,0,1,1,0,0,1,0,3,9,6,0,0,1,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",10,"7/19/24",1,"E4",5.5,NA,NA,NA,NA,3,9,"SEM-DIVERSE-1-E4","Y",0,21,0,3,1,0,3,3,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SEM","DIVERSE","COLLOM",11,"7/19/24",4,"B4",17.8,NA,NA,NA,NA,34,102,"SEM-DIVERSE-4-B4","Y",0,1,0,2,2,0,1,0,0,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",12,"7/19/24",1,"A2",9.1,"0.127",3,5,NA,8,24,"SEM-DIVERSE-1-A2","Y",0,2,0,4,1,0,2,3,0,7,4,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
"SEM","DIVERSE","COLLOM",13,"7/19/24",3,"D3",15.2,NA,NA,NA,NA,20,60,"SEM-DIVERSE-3-D3","Y",0,9,1,1,1,3,0,1,0,3,7,0,0,0,2,0,0,1,1,0,1,0,0,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",14,"7/19/24",3,"C3",13.5,"0.279",0,6,"BT",6,18,"SEM-DIVERSE-3-C3","Y",0,13,0,3,5,1,0,11,0,6,5,1,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",15,"7/19/24",3,"B3",14.5,NA,NA,NA,NA,17,51,"SEM-DIVERSE-3-B3","Y",0,27,0,6,4,3,0,12,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",16,"7/19/24",3,"A3",11.6,"0.1243",5,0,NA,5,15,"SEM-DIVERSE-3-A3","Y",1,20,0,5,4,1,0,12,0,5,4,1,0,0,0,0,0,0,2,0,0,0,0,1,NA,NA,NA,NA
"SEM","DIVERSE","COLLOM",17,"7/19/24",3,"A1",20.1,"0.7802",16,1,"BT",48,144,"SEM-DIVERSE-3-A1","Y",0,9,0,5,2,1,1,9,0,5,2,0,1,0,3,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
"SEM","DIVERSE","COLLOM",18,"7/19/24",8,"A3",10.6,NA,NA,NA,NA,8,24,"SEM-DIVERSE-8-A3","Y",0,6,0,5,0,0,1,5,2,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEM","DIVERSE","COLLOM",20,"7/19/24",8,"D2",10.9,NA,NA,NA,NA,8,24,"SEM-DIVERSE-8-D2","Y",0,2,0,8,0,0,3,4,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEM","DIVERSE","COLLOM",21,"7/19/24",8,"C2",9.4,NA,NA,NA,NA,6,18,"SEM-DIVERSE-8-C2","Y",0,2,0,4,1,0,5,2,0,0,4,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
"SEM","DIVERSE","COLLOM",22,"7/22/24",2,"D1",7.3,NA,NA,NA,NA,4,12,"SEM-DIVERSE-2-D1","Y",1,0,0,0,1,3,0,3,0,3,8,2,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,NA
"SEM","DIVERSE","COLLOM",23,"7/22/24",2,"D4",12.1,"0.536",7,4,NA,19,57,"SEM-DIVERSE-2-D4","Y",1,9,0,9,5,2,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
