"park","plot","species","rep","date","plot.1","subplot","height","biomass","topfr","sidefr","notes","fruits","seeds","unique","PLECON","NAVSQU","PLAFIG","EPIDEN","GILCAP","COLLIN","CLAPUR","COLLOM","LACTUCA","SHEARV","GERANIUM","LEUVUL","CERGLO","LATHVIC","MYOSOTIS","TRIFOLIUM","ERILAN","DAUCAR","A","B","C","D","E","F","G","sedge","LINBIE","VERARV","DICCON","ACMAME"
"WIR","DIVERSE","COLLOM",1,"7/17/24",4,"B1",16.3,"1.136",11,9,NA,47,141,"WIR-DIVERSE-4-B1",0,13,1,0,0,2,4,1,0,0,0,0,0,2,0,0,0,1,3,0,0,2,0,0,1,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",2,"7/15/24",3,"B3",11.5,"0.456",6,4,NA,18,54,"WIR-DIVERSE-3-B3",0,5,1,3,3,3,21,10,0,2,0,0,0,0,0,0,0,7,1,0,2,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",4,"7/12/24",1,"E4",7.1,NA,NA,NA,NA,5,15,"WIR-DIVERSE-1-E4",0,5,1,6,1,0,8,1,0,1,0,0,1,2,0,4,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",5,"7/12/24",1,"A1",4,NA,NA,NA,NA,3,9,"WIR-DIVERSE-1-A1",0,7,1,5,2,2,24,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",6,"7/12/24",1,"C4",10.6,"0.54",6,5,NA,18,54,"WIR-DIVERSE-1-C4",0,7,0,0,2,2,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",7,"7/12/24",1,"A2",7.3,NA,NA,NA,NA,5,15,"WIR-DIVERSE-1-A2",1,1,1,1,2,1,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",8,"7/15/24",2,"A3",5.4,"0.03",1,0,NA,1,3,"WIR-DIVERSE-2-A3",1,0,0,0,2,2,30,3,0,1,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",9,"7/15/24",2,"E2",8.5,NA,NA,NA,NA,7,21,"WIR-DIVERSE-2-E2",2,5,0,4,3,7,14,4,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,1,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",10,"7/15/24",2,"C3",5.9,NA,NA,NA,NA,4,12,"WIR-DIVERSE-2-C3",1,16,0,2,5,4,20,4,1,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,3,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",11,"7/15/24",2,"C1",15.5,"0.307",7,0,NA,7,21,"WIR-DIVERSE-2-C1",2,3,0,0,4,1,17,3,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",12,"7/15/24",3,"E5",11.5,NA,NA,NA,NA,12,36,"WIR-DIVERSE-3-E5",0,1,0,0,0,0,12,5,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",13,"7/15/24",3,"D5",11.8,NA,NA,NA,NA,13,39,"WIR-DIVERSE-3-D5",0,5,0,0,1,0,9,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",14,"7/15/24",3,"C5",13.1,"0.383",13,1,NA,14,42,"WIR-DIVERSE-3-C5",0,1,0,1,2,2,9,5,0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",15,"7/15/24",3,"A2",15.5,NA,NA,NA,NA,27,81,"WIR-DIVERSE-3-A2",1,4,1,0,0,1,15,4,0,2,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",16,"7/15/24",5,"A1",9.5,NA,NA,NA,NA,8,24,"WIR-DIVERSE-5-A1",0,29,0,0,3,0,14,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",17,"7/17/24",4,"B2",20.1,NA,NA,NA,"munched",68,204,"WIR-DIVERSE-4-B2",1,18,0,0,2,5,3,3,0,1,0,0,1,0,1,0,0,1,8,0,0,0,0,0,1,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",19,"7/17/24",4,"D5",5.2,"0.041",1,0,NA,1,3,"WIR-DIVERSE-4-D5",0,14,0,1,0,0,13,4,0,3,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",20,"7/17/24",7,"C1",15.2,"0.381",5,3,NA,20,60,"WIR-DIVERSE-7-C1",0,15,0,3,2,8,10,1,2,1,1,0,4,0,2,0,0,9,0,0,0,0,0,0,0,0,NA,2,NA,NA
"WIR","DIVERSE","COLLOM",21,"7/17/24",7,"B4",9,NA,NA,NA,NA,7,21,"WIR-DIVERSE-7-B4",0,8,0,3,1,0,6,2,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA
"WIR","DIVERSE","COLLOM",22,"7/17/24",11,"B3",5.8,NA,NA,NA,NA,4,12,"WIR-DIVERSE-11-B3",0,0,0,0,0,0,18,4,2,1,0,0,0,1,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1
"WIR","DIVERSE","COLLOM",23,"7/17/24",11,"B5",13.9,NA,NA,NA,NA,19,57,"WIR-DIVERSE-11-B5",0,8,2,0,0,3,29,6,0,1,0,0,0,0,0,0,0,8,0,1,0,2,0,0,0,0,0,1,0,0
"WIR","DIVERSE","COLLOM",24,"7/17/24",11,"C3",7.5,NA,NA,NA,NA,6,18,"WIR-DIVERSE-11-C3",0,1,0,0,1,0,14,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
