PARK,PLOT,SPECIES,REP,date,PLOT,SUBPLOT,height,stems,fr1,fr2,fr3,fr4,fr5,EXACTFR,BIOMASS,TOPFR,SIDEFR,notes
BR,ALONE,CLAPUR,1,7/24/24,NA,NA,13,3,11,,,,,,0.371,,,
BR,ALONE,CLAPUR,2,,NA,NA,,,,,,,,,,,,GONE
BR,ALONE,CLAPUR,3,,NA,NA,,,,,,,,,,,,GONE
BR,ALONE,CLAPUR,4,7/24/24,NA,NA,9.5,1,2,,,,,,0.136,,,
BR,ALONE,CLAPUR,5,7/24/24,NA,NA,12.1,2,3,,,,,,0.199,,,
BR,ALONE,CLAPUR,6,7/24/24,NA,NA,10.2,1,4,,,,,,0.304,,,
BR,ALONE,CLAPUR,7,7/24/24,NA,NA,13.6,1,9,,,,,,0.469,,,
BR,ALONE,CLAPUR,8,7/24/24,NA,NA,6.9,1,4,,,,,,,,,
BR,ALONE,CLAPUR,9,7/24/24,NA,NA,14.9,4,9,,,,,,,,,
BR,ALONE,CLAPUR,10,7/24/24,NA,NA,14.3,1,11,,,,,,0.528,,,
BR,ALONE,CLAPUR,11,7/24/24,NA,NA,17.2,1,3,,,,,,0.189,,,
BR,ALONE,CLAPUR,12,7/24/24,NA,NA,5.3,2,5,,,,,,0.167,,,
RF,ALONE,CLAPUR,1,7/10/24,NA,NA,,,,,,,,,,,,gone
RF,ALONE,CLAPUR,2,7/10/24,NA,NA,113.2,1,213,,,,,,,,,
RF,ALONE,CLAPUR,3,7/10/24,NA,NA,,,,,,,,,,,,gone
RF,ALONE,CLAPUR,4,7/10/24,NA,NA,79.6,2,71,,,,,,,,,
RF,ALONE,CLAPUR,5,7/10/24,NA,NA,59.6,1,19,,,,,,,,,
RF,ALONE,CLAPUR,6,7/10/24,NA,NA,42.4,1,8,,,,,,,,,
RF,ALONE,CLAPUR,7,7/10/24,NA,NA,43,1,146,,,,,,,,,
RF,ALONE,CLAPUR,8,7/10/24,NA,NA,90.9,1,209,,,,,,,,,
RF,ALONE,CLAPUR,9,7/10/24,NA,NA,65.7,1,45,,,,,,,,,
RF,ALONE,CLAPUR,10,7/10/24,NA,NA,123.4,1,489,,,,,,,,,
