PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,STEMS,TOTAL FR,BAGGED,EXACTFR,BIOMASS,TOPFR,SIDEFR,NOTES
BR,DIVERSE,CLAPUR,1,7/25/24,12,E1,22.2,1,3,y,,0.138,,,BT
BR,DIVERSE,CLAPUR,2,7/25/24,5,E1,8.1,1,1,y,,0.07,,,
BR,DIVERSE,CLAPUR,3,7/25/24,5,E5,9.4,1,2,y,,0.058,,,
BR,DIVERSE,CLAPUR,4,7/24/24,1,B3,20.5,,2,y,,0.084,,,
BR,DIVERSE,CLAPUR,5,7/24/24,1,C2,20.2,,3,y,,0.129,,,
BR,DIVERSE,CLAPUR,6,7/24/24,1,D3,19.1,,2,y,,0.148,,,
BR,DIVERSE,CLAPUR,7,7/24/24,1,E4,39.1,,7,y,,0.542,,,
BR,DIVERSE,CLAPUR,8,7/24/24,2,E2,15.5,1,1,y,,0.06,,,
BR,DIVERSE,CLAPUR,9,7/24/24,2,D2,10.7,1,1,y,,0.017,,,
BR,DIVERSE,CLAPUR,10,7/24/24,2,E1,22.3,1,1,n,,,,,
BR,DIVERSE,CLAPUR,11,7/24/24,2,C1,16.1,3,6,n,,,,,
BR,DIVERSE,CLAPUR,12,7/24/24,3,E5,23.9,2,5,n,,,,,
BR,DIVERSE,CLAPUR,13,7/24/24,3,D5,16.8,1,2,n,,,,,
BR,DIVERSE,CLAPUR,14,7/24/24,3,E4,28.2,1,4,n,,,,,
BR,DIVERSE,CLAPUR,15,7/24/24,4,B4,35.6,1,5,n,,,,,
BR,DIVERSE,CLAPUR,16,7/24/24,4,D1,18.3,1,1,n,,,,,
BR,DIVERSE,CLAPUR,17,7/24/24,4,D3,13.6,1,5,n,,,,,
BR,DIVERSE,CLAPUR,18,7/25/24,5,D2,11.2,,1,n,,,,,
BR,DIVERSE,CLAPUR,19,7/25/24,5,D4,27.8,1,5,,,,,,
BR,DIVERSE,CLAPUR,20,7/25/24,12,E2,14.5,1,2,n,,,,,
BR,DIVERSE,CLAPUR,21,7/25/24,12,D4,18.2,1,2,n,,,,,
BR,DIVERSE,CLAPUR,22,7/25/24,12,A1,36.5,3,13,n,,,,,
BR,DIVERSE,CLAPUR,23,7/25/24,9,B2,25.1,1,4,n,,,,,
BR,DIVERSE,CLAPUR,24,7/25/24,9,D3,12.1,1,4,,,,,,
BR,DIVERSE,CLAPUR,25,7/25/24,9,E4,15.9,2,3,,,,,,
BR,DIVERSE,CLAPUR,26,7/25/24,13,E5,31.8,2,6,n,,,,,
BR,DIVERSE,CLAPUR,27,7/25/24,13,E4,14.6,1,1,n,,,,,
BR,DIVERSE,CLAPUR,28,7/25/24,13,A4,24,1,4,n,,,,,
BR,DIVERSE,CLAPUR,29,7/25/24,13,B1,15.1,1,2,n,,,,,
BR,DIVERSE,COLLIN,1,7/25/24,5,C3,,1,2,y,,0.034,,,
BR,DIVERSE,COLLIN,2,7/24/24,1,A1,,,19,y,,0.178,,,
BR,DIVERSE,COLLIN,3,,,,,,,n,,,,,gone
BR,DIVERSE,COLLIN,4,7/24/24,1,A2,,,5,y,,0.053,,,
BR,DIVERSE,COLLIN,5,7/24/24,1,C1,,,5,y,,0.041,,,
BR,DIVERSE,COLLIN,6,7/24/24,2,A4,,,21,y,,0.21,,,
BR,DIVERSE,COLLIN,7,7/24/24,2,B4,,1,13,y,,0.132,,,
BR,DIVERSE,COLLIN,8,7/24/24,2,C4,,1,4,y,,0.015,,,
BR,DIVERSE,COLLIN,9,7/24/24,2,B3,,,3,y,,0.02,,,
BR,DIVERSE,COLLIN,10,7/24/24,2,C2,,1,3,n,,,,,
BR,DIVERSE,COLLIN,11,7/24/24,2,B2,,1,3,n,,,,,
BR,DIVERSE,COLLIN,12,7/24/24,3,A5,,1,7,n,,,,,
BR,DIVERSE,COLLIN,13,7/24/24,4,A5,,1,4,n,,,,,
BR,DIVERSE,COLLIN,14,7/25/24,5,D3,7.2,,2,n,,,,,
BR,DIVERSE,COLLIN,15,7/25/24,5,C4,,,3,,,,,,
BR,DIVERSE,COLLIN,16,7/25/24,12,C2,,1,4,n,,,,,
BR,DIVERSE,COLLIN,17,7/25/24,12,B4,,1,3,n,,,,,
BR,DIVERSE,COLLIN,18,7/25/24,13,A2,,,3,n,,,,,
BR,DIVERSE,COLLIN,19,7/25/24,9,A2,,,3,n,,,,,
BR,DIVERSE,COLLIN,20,7/25/24,9,C1,,,3,n,,,,,
BR,DIVERSE,COLLIN,21,7/25/24,9,C4,,,1,,,,,,
BR,DIVERSE,COLLIN,22,7/25/24,13,B5,,1,2,n,,,,,
BR,DIVERSE,COLLOM,1,7/25/24,13,B3,14.9,1,1,,,0.11,5,0,
BR,DIVERSE,COLLOM,2,7/24/24,4,D5,24.2,1,1,y,,0.705,20,0,
BR,DIVERSE,COLLOM,3,7/24/24,2,A3,11.7,1,2,y,,0.185,3,1,1 really small fruit (not counted) and 1 normal on side fruit
BR,DIVERSE,COLLOM,4,7/24/24,1,B1,13.8,,4,y,,,,,
BR,DIVERSE,COLLOM,5,7/24/24,1,D2,6.5,,1,y,,,,,
BR,DIVERSE,COLLOM,6,7/24/24,1,C4,6.9,,1,y,,0.016,2,0,
BR,DIVERSE,COLLOM,7,7/24/24,2,D4,7.1,1,5,y,,0.66,9,2,
BR,DIVERSE,COLLOM,8,7/24/24,2,E3,7.6,1,1,y,,,,,
BR,DIVERSE,COLLOM,9,7/24/24,3,C1,9.6,1,1,y,,,,,
BR,DIVERSE,COLLOM,10,7/24/24,3,B5,15.1,1,3,y,,,,,
BR,DIVERSE,COLLOM,11,7/24/24,3,B3,19.5,1,1,y,,0.448,12,0,
BR,DIVERSE,COLLOM,12,7/24/24,3,C2,16.7,3,2,y,,0.301,10,1,BT
BR,DIVERSE,COLLOM,12,7/24/24,4,B5,17.7,1,1,y,,,,,
BR,DIVERSE,COLLOM,13,7/24/24,4,C4,10.1,1,1,y,,,,,
BR,DIVERSE,COLLOM,14,7/24/24,4,E4,11.6,1,1,y,,,,,
BR,DIVERSE,COLLOM,15,7/25/24,5,E2,6.3,,1,y,,,,,
BR,DIVERSE,COLLOM,16,7/25/24,5,A3,9.7,1,1,y,,,,,
BR,DIVERSE,COLLOM,17,7/25/24,5,E4,7.5,,1,,,,,,
BR,DIVERSE,COLLOM,18,7/25/24,12,C1,14.1,3,3,y,,0.223,5,2,
BR,DIVERSE,COLLOM,19,7/25/24,12,B3,9.5,1,1,y,,,,,
BR,DIVERSE,COLLOM,20,7/25/24,12,A3,20.3,1,3,y,,0.562,6,5,Poss munched: tallest mid inf as top but side inf similar in size
BR,DIVERSE,COLLOM,21,7/25/24,9,E2,24.3,,1,,,,,,
