park,plot,plot,subplot,focal_collect,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACTUCA,MYO,CHICKWEED,VICIA,MADIA,LEUVUL,DAUCUS,LINBIE,PLANTAIN,GERANIUM,GALIUM,SHEARV,CAMAS,CLOVER,J,C,F,G,H,I,VERARV,A,SEDGE,EPICIL,ERILAN,JUNCUS,SCARLET PIMPERNEL,LUPBIC,D,FRLA
BR,DIVERSE,1,A1,,0,12,0,0,1,2,2,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,16,0,0,2,0,0,0,,,,,,,
BR,DIVERSE,1,B1,,2,12,0,5,1,0,2,3,1,0,0,0,3,1,1,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,C1,,1,12,0,9,6,3,1,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,,,,,,,
BR,DIVERSE,1,D1,,0,6,0,2,6,0,0,0,3,0,0,0,7,0,3,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,A2,,1,9,0,5,3,2,4,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,,,,,,,
BR,DIVERSE,1,B2,,0,26,0,4,2,3,6,5,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,C2,,2,19,0,4,3,3,4,2,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,2,3,0,0,0,1,0,0,,,,,,,
BR,DIVERSE,1,D2,,0,4,0,1,0,1,0,2,0,0,0,0,4,3,2,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,A3,,1,9,0,1,4,2,2,1,1,5,1,0,6,1,3,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,B3,,1,26,0,0,1,1,1,1,0,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,C3,,0,19,1,3,1,1,3,2,1,0,0,0,18,0,2,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,D3,,0,4,0,0,2,4,4,1,1,0,0,0,9,0,5,3,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,A4,,0,0,5,10,1,1,1,4,0,0,0,0,4,3,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,B4,,0,0,0,0,3,0,0,0,0,1,0,0,15,0,3,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,C4,,0,0,0,0,0,0,1,1,4,1,0,0,8,0,5,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,D4,,2,1,0,2,0,5,0,1,2,0,0,0,10,0,4,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,1,E4,,0,1,0,0,0,5,1,0,5,0,0,0,9,0,6,3,1,1,0,0,0,0,0,1,4,0,0,0,0,0,1,,,,,,,
BR,DIVERSE,1,A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,2,A1,,1,1,0,2,1,3,2,2,0,1,0,0,6,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
