PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,STEMS,TOTAL FR,BAGGED,EXACTFR,BIOMASS,TOPFR,SIDEFR,NOTES
WIR,DIVERSE,CLAPUR,1,7/15/24,5,C5,20.5,1,6,,,,,,
WIR,DIVERSE,CLAPUR,2,7/17/24,4,C5,19.1,,7,,,0.347,,,
WIR,DIVERSE,CLAPUR,3,7/15/24,2,B5,9.5,1,2,,,0.097,,,
WIR,DIVERSE,CLAPUR,4,7/12/24,1,D5,10.3,1,7,,,,,,
WIR,DIVERSE,CLAPUR,5,7/12/24,1,A5,11.3,1,4,,,,,,
WIR,DIVERSE,CLAPUR,6,7/12/24,1,D4,14,1,6,,,,,,bt
WIR,DIVERSE,CLAPUR,7,7/12/24,1,A3,21,1,4,,,,,,
WIR,DIVERSE,CLAPUR,8,7/12/24,1,B1,13.4,1,3,,,,,,
WIR,DIVERSE,CLAPUR,9,7/15/24,2,A2,18.8,1,16,,,1.016,,,
WIR,DIVERSE,CLAPUR,10,7/15/24,2,B4,14.1,1,5,,,0.444,,,
WIR,DIVERSE,CLAPUR,11,7/15/24,3,E3,18.2,1,5,,,0.285,,,
WIR,DIVERSE,CLAPUR,12,7/15/24,3,C4,20.3,1,5,,,0.327,,,
WIR,DIVERSE,CLAPUR,13,7/15/24,3,B5,20.3,1,4,,,0.27,,,
WIR,DIVERSE,CLAPUR,14,7/15/24,3,C3,15.2,1,2,,,0.19,,,
WIR,DIVERSE,CLAPUR,15,7/15/24,3,C2,12.5,1,6,,,,,,
WIR,DIVERSE,CLAPUR,16,7/15/24,5,E4,15.3,1,2,,,,,,
WIR,DIVERSE,CLAPUR,17,7/15/24,5,D2,21.5,1,3,,,,,,
WIR,DIVERSE,CLAPUR,18,7/15/24,5,B1,23.7,1,26,,,,,,
WIR,DIVERSE,CLAPUR,19,7/15/24,5,B2,22.5,1,5,,,,,,
WIR,DIVERSE,CLAPUR,20,7/15/24,5,A5,9.4,1,4,,,,,,
WIR,DIVERSE,CLAPUR,21,7/17/24,6,A2,15.4,1,10,,,,,,
WIR,DIVERSE,CLAPUR,22,7/17/24,6,A4,22,1,17,,,,,,
WIR,DIVERSE,CLAPUR,23,7/17/24,6,C2,28.6,1,25,,,,,,
