park,plot,plot,subplot,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACTUCA,SHEARV,GERANIUM,LEUVUL,CERGLO,LATHVIC,MYOSOTIS,TRIFOLIUM,ERILAN,DAUCAR,A,B,C,D,E,F,G,sedge,LINBIE,VERARV,DICCON,ACMAME
WIR,DIVERSE,1,A1,0,7,1,5,2,2,24,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,,,,
WIR,DIVERSE,1,B1,2,0,0,4,2,2,15,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,13,,,,
WIR,DIVERSE,1,C1,6,7,1,1,1,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,
WIR,DIVERSE,1,D1,0,5,2,0,1,1,22,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,
WIR,DIVERSE,1,E1,1,4,0,3,3,3,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,,,,
WIR,DIVERSE,1,A2,1,1,1,1,2,1,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,
WIR,DIVERSE,1,B2,0,1,0,2,5,1,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,,,,
WIR,DIVERSE,1,C2,1,10,0,1,3,7,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,
WIR,DIVERSE,1,D2,1,7,1,1,3,0,22,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,1,E2,2,12,3,8,2,1,23,14,0,0,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,2,,,,
WIR,DIVERSE,1,A3,0,3,0,2,1,1,24,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,1,B3,0,3,1,0,2,3,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
WIR,DIVERSE,1,C3,3,15,2,6,5,4,10,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,,,,
WIR,DIVERSE,1,D3,0,17,1,3,4,1,13,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,,,,
WIR,DIVERSE,1,E3,0,6,0,7,4,0,12,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,,,,
WIR,DIVERSE,1,A4,0,13,1,1,0,0,15,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,1,B4,0,11,2,2,2,2,8,6,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,0,,,,
WIR,DIVERSE,1,C4,0,7,0,0,2,2,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,1,D4,0,16,0,4,1,2,16,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,1,E4,0,5,1,6,1,0,8,1,0,1,0,0,1,2,0,4,0,0,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,1,A5,1,17,1,1,4,1,12,4,1,0,0,0,0,5,1,0,0,3,1,0,3,0,0,0,0,0,,,,
WIR,DIVERSE,1,B5,0,8,0,0,5,0,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,
WIR,DIVERSE,1,C5,1,4,1,1,4,3,13,4,0,0,0,0,0,0,0,3,0,3,2,1,0,2,0,0,0,0,,,,
WIR,DIVERSE,1,D5,0,0,0,2,3,1,24,2,0,1,0,0,0,0,2,0,0,4,0,1,0,2,0,0,0,0,,,,
WIR,DIVERSE,1,E5,0,6,0,9,6,1,20,3,0,1,0,0,0,0,1,0,0,2,2,0,0,2,0,0,0,0,,,,
WIR,DIVERSE,2,A1,0,7,0,0,1,1,18,2,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,B1,0,8,0,2,3,2,20,3,0,0,0,0,4,0,2,0,0,8,8,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,2,C1,2,3,0,0,4,1,17,3,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,D1,4,2,0,3,7,7,23,6,0,0,0,0,2,0,0,0,0,6,2,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,2,E1,0,4,1,1,4,3,14,3,0,3,0,0,0,0,0,0,0,7,0,1,0,1,1,0,0,0,,,,
WIR,DIVERSE,2,A2,0,5,1,0,3,2,11,4,0,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,B2,0,6,0,5,3,0,36,1,0,5,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,C2,0,9,2,3,1,3,37,8,0,1,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,D2,2,9,3,4,11,4,17,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,,,,
WIR,DIVERSE,2,E2,2,5,0,4,3,7,14,4,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,1,,,,
WIR,DIVERSE,2,A3,1,0,0,0,2,2,30,3,0,1,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,B3,0,3,0,0,1,0,43,2,1,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,C3,1,16,0,2,5,4,20,4,1,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,3,,,,
WIR,DIVERSE,2,D3,1,13,2,4,6,5,19,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,,,,
WIR,DIVERSE,2,E3,0,6,1,5,3,3,25,4,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,,,,
WIR,DIVERSE,2,A4,0,8,0,0,5,4,20,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,,,,
WIR,DIVERSE,2,B4,0,4,0,0,2,2,26,6,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,2,C4,0,5,2,0,0,2,28,6,1,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,D4,0,11,0,7,7,4,36,3,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,E4,0,5,0,1,3,1,28,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,,,,
WIR,DIVERSE,2,A5,1,3,0,0,0,0,32,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,B5,1,10,0,1,2,3,33,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,C5,0,2,0,0,1,0,25,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,D5,0,5,1,4,7,1,34,3,0,1,0,0,1,2,0,0,0,4,0,1,0,0,0,0,0,0,,,,
WIR,DIVERSE,2,E5,0,3,0,1,1,0,24,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,A1,0,10,0,0,1,1,15,2,0,2,0,0,0,1,3,0,0,6,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,B1,0,9,2,0,1,0,18,2,1,1,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,C1,0,38,0,0,3,0,19,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,3,D1,0,15,2,1,1,0,26,1,2,0,1,0,2,0,3,0,0,5,13,0,3,1,0,0,0,0,,,,
WIR,DIVERSE,3,E1,0,13,1,1,1,0,33,2,0,2,0,0,1,0,0,0,0,4,6,0,2,0,0,0,0,0,,,,
WIR,DIVERSE,3,A2,1,4,1,0,0,1,15,4,0,2,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,B2,0,12,1,1,0,1,19,4,0,2,1,0,0,0,1,0,0,8,3,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,C2,0,8,0,6,1,0,18,8,1,1,0,0,0,0,4,0,0,6,4,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,D2,1,10,0,1,2,0,28,1,1,0,0,0,1,0,3,0,0,5,3,0,1,0,0,0,0,0,,,,
