PARK,PLOT,SPECIES,REP,date,height,stemcount,fr1,fr2,fr3,fr4,fr5,EXACTFR,BIOMASS,TOPFR,SIDEFR,notes
BR,ALONE,PLECON,1,6/25/2024,34.8,1,23,,,,,,none,,,
BR,ALONE,PLECON,2,6/25/2024,31.5,1,22,,,,,,none,,,
BR,ALONE,PLECON,3,7/24/2024,6.0,1,,,,,,,none,,,BT
BR,ALONE,PLECON,4,7/2/2024,26.0,1,11,,,,,,none,,,
BR,ALONE,PLECON,5,6/25/2024,25.5,1,15,,,,,,none,,,
BR,ALONE,PLECON,6,6/25/2024,24.1,1,9,,,,,,none,,,
BR,ALONE,PLECON,7,7/2/2024,8.6,1,3,,,,,,none,,,
BR,ALONE,PLECON,8,6/25/2024,13.3,1,3,,,,,,none,,,
BR,ALONE,PLECON,9,6/25/2024,20.6,1,16,,,,,,none,,,
BR,ALONE,PLECON,10,7/2/2024,28.0,1,7,,,,,,none,,,
BR,ALONE,NAVSQU,1,7/24/2024,32.8,10,65,,,,,,11.334,46,31,
BR,ALONE,NAVSQU,2,7/24/2024,43.2,7,40,,,,,,6.363,28,13,
BR,ALONE,NAVSQU,3,7/24/2024,35.1,5,19,,,,,,3.443,34,15,
BR,ALONE,NAVSQU,4,7/24/2024,35.3,1,18,,,,,,,,,
BR,ALONE,NAVSQU,5,7/24/2024,40.6,8,51,,,,,,,,,
BR,ALONE,NAVSQU,6,7/24/2024,36.9,8,31,,,,,,4.735,18,13,
BR,ALONE,NAVSQU,7,7/24/2024,38.7,4,18,,,,,,4.934,29,21,
BR,ALONE,NAVSQU,8,7/24/2024,35.6,7,26,,,,,,6.517,34,16,
BR,ALONE,NAVSQU,9,7/24/2024,13.7,4,11,,,,,,0.889,16,5,
BR,ALONE,NAVSQU,10,7/24/2024,43.2,3,18,,,,,,4.321,28,21,
BR,ALONE,PLAFIG,1,6/25/2024,17.3,1,23,,,,,,none,,,
BR,ALONE,PLAFIG,2,6/25/2024,15.4,1,59,,,,,,none,,,
BR,ALONE,PLAFIG,3,,,,,,,,,,none,,,DEAD
BR,ALONE,PLAFIG,4,6/25/2024,20.9,1,107,,,,,,none,,,
BR,ALONE,PLAFIG,5,6/25/2024,25.6,1,112,,,,,,none,,,
BR,ALONE,PLAFIG,6,6/25/2024,20.6,1,132,,,,,,none,,,
BR,ALONE,PLAFIG,7,6/25/2024,19.3,1,217,,,,,,none,,,
BR,ALONE,PLAFIG,8,6/25/2024,15.1,1,85,,,,,,none,,,
BR,ALONE,PLAFIG,9,6/25/2024,19.6,1,71,,,,,,none,,,
BR,ALONE,PLAFIG,10,6/25/2024,21.0,1,66,,,,,,none,,,
BR,ALONE,PLAFIG,11,6/25/2024,11.0,1,15,,,,,,none,,,
BR,ALONE,EPIDEN,1,7/24/2024,8.1,1,,,,,,24,1.23,,,
BR,ALONE,EPIDEN,2,7/24/2024,7.6,1,,,,,,9,0.213,,,
BR,ALONE,EPIDEN,3,,,,,,,,,,,,,GONE
BR,ALONE,EPIDEN,4,7/24/2024,11.8,1,,,,,,15,0.473,,,
BR,ALONE,EPIDEN,5,7/24/2024,5.5,1,,,,,,13,0.389,,,
