PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,STEMS,FR1,FR2,FR3,FR4,FR5,EXACTFR,BIOMASS,TOPFR,SIDEFR,NOTES
RF,DIVERSE,CLAPUR,1,7/8/2024,3,D1,42.1,1,4,,,,,,,,,
RF,DIVERSE,CLAPUR,2,7/8/2024,4,D4,48.0,1,9,,,,,,,,,
RF,DIVERSE,CLAPUR,3,,,,,,,,,,,,,,,GONE?
RF,DIVERSE,CLAPUR,4,7/4/2024,1,A3,42.8,1,3,,,,,,,,,
RF,DIVERSE,CLAPUR,5,7/4/2024,1,A2,50.2,1,3,,,,,,,,,
RF,DIVERSE,CLAPUR,6,7/4/2024,1,D5,42.0,1,5,,,,,,,,,
RF,DIVERSE,CLAPUR,7,7/8/2024,2,B5,44.9,1,5,,,,,,,,,
RF,DIVERSE,CLAPUR,8,7/8/2024,2,A3,56.0,1,6,,,,,,,,,
RF,DIVERSE,CLAPUR,9,7/8/2024,2,C5,46.4,1,6,,,,,,,,,
RF,DIVERSE,CLAPUR,10,7/8/2024,2,A2,41.0,1,2,,,,,,,,,
RF,DIVERSE,CLAPUR,11,7/8/2024,3,D2,37.1,1,5,,,,,,,,,
RF,DIVERSE,CLAPUR,12,7/8/2024,3,C2,55.5,,6,,,,,,,,,
RF,DIVERSE,CLAPUR,13,7/8/2024,4,E5,53.5,,10,,,,,,,,,
RF,DIVERSE,CLAPUR,14,7/8/2024,4,B4,46.2,,8,,,,,,,,,
RF,DIVERSE,CLAPUR,15,7/8/2024,4,B1,38.6,,4,,,,,,,,,
RF,DIVERSE,CLAPUR,16,7/10/2024,5,C5,45.4,,4,,,,,,,,,
RF,DIVERSE,CLAPUR,17,7/10/2024,5,C1,16.6,,2,,,,,,,,,
RF,DIVERSE,CLAPUR,18,7/10/2024,6,A3,27.0,,4,,,,,,,,,
RF,DIVERSE,CLAPUR,19,7/10/2024,6,C1,47.2,,4,,,,,,,,,
RF,DIVERSE,CLAPUR,20,7/10/2024,6,E2,25.2,1,1,,,,,,,,,
RF,DIVERSE,CLAPUR,21,7/10/2024,6,E3,74.6,1,19,,,,,,,,,
RF,DIVERSE,CLAPUR,22,7/10/2024,6,D2,56.0,1,6,,,,,,,,,
RF,DIVERSE,COLLIN,1,7/8/2024,4,D3,,,7,,,,,,,,,
RF,DIVERSE,COLLIN,2,7/8/2024,2,D5,23.1,1,4,,,,,,,,,
RF,DIVERSE,COLLIN,3,7/8/2024,3,C5,,1,18,,,,,,,,,
RF,DIVERSE,COLLIN,4,7/4/2024,1,E1,43.9,1,28,,,,,,,,,
RF,DIVERSE,COLLIN,5,7/4/2024,1,D5,,1,17,,,,,,,,,
RF,DIVERSE,COLLIN,6,7/4/2024,1,A4,41.0,1,16,,,,,,,,,
RF,DIVERSE,COLLIN,7,7/8/2024,2,D5,,1,9,,,,,,,,,
RF,DIVERSE,COLLIN,8,7/8/2024,2,C1,,1,19,,,,,,,,,
RF,DIVERSE,COLLIN,9,7/8/2024,3,A4,,1,14,,,,,,,,,
RF,DIVERSE,COLLIN,10,7/8/2024,3,D1,,,13,,,,,,,,,
RF,DIVERSE,COLLIN,11,7/8/2024,3,C3,,,8,,,,,,,,,
RF,DIVERSE,COLLIN,12,7/8/2024,4,A5,,,8,,,,,,,,,
RF,DIVERSE,COLLIN,13,7/8/2024,4,B2,,,8,,,,,,,,,
RF,DIVERSE,COLLIN,14,7/8/2024,4,C2,,,18,,,,,,,,,
