PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,STEMS,TOTAL FR,BAGGED?,EXACTFR,BIOMASS,TOPFR,SIDEFR,NOTES
SEM,DIVERSE,CLAPUR,1,,,,,,,,,,,,GONE
SEM,DIVERSE,CLAPUR,2,7/19/24,1,D2,16.5,,16,YES,,0.868,,,
SEM,DIVERSE,CLAPUR,3,7/22/24,7,B3,11.3,,10,YES,,0.731,,,
SEM,DIVERSE,CLAPUR,4,7/19/24,4,D3,41,,37,YES,,2.948,,,
SEM,DIVERSE,CLAPUR,5,7/19/24,4,C3,31,1,2,YES,,0.241,,,BT
SEM,DIVERSE,CLAPUR,6,7/19/24,1,E5,23,1,10,YES,,0.691,,,
SEM,DIVERSE,CLAPUR,7,7/19/24,4,A4,14.8,1,3,YES,,0.176,,,
SEM,DIVERSE,CLAPUR,8,7/19/24,1,D4,10.6,1,2,YES,,0.145,,,
SEM,DIVERSE,CLAPUR,8,7/19/24,8,D2,13,1,3,NO,,,,,
SEM,DIVERSE,CLAPUR,9,7/22/24,6,C5,44.3,4,20,NO,,,,,
SEM,DIVERSE,CLAPUR,10,7/22/24,6,A4,19.1,,2,NO,,,,,
SEM,DIVERSE,CLAPUR,11,7/19/24,8,E2,16.6,1,1,NO,,,,,
SEM,DIVERSE,CLAPUR,12,7/19/24,8,D4,11.8,1,9,NO,,,,,
SEM,DIVERSE,CLAPUR,13,7/19/24,8,B1,11.6,1,10,NO,,,,,
SEM,DIVERSE,CLAPUR,14,7/19/24,8,D3,13.5,1,4,NO,,,,,
SEM,DIVERSE,CLAPUR,15,7/19/24,8,D1,15.1,1,6,NO,,,,,
SEM,DIVERSE,CLAPUR,16,7/22/24,2,E5,23.5,1,2,NO,,,,,
SEM,DIVERSE,CLAPUR,17,7/22/24,2,D3,34.9,1,21,NO,,,,,
SEM,DIVERSE,CLAPUR,18,7/22/24,2,B3,16.1,1,10,NO,,,,,
SEM,DIVERSE,CLAPUR,19,7/22/24,2,A2,21.7,1,9,NO,,,,,
SEM,DIVERSE,CLAPUR,20,7/22/24,6,D1,22.2,,2,NO ,,,,,
SEM,DIVERSE,CLAPUR,21,7/22/24,6,E3,22.1,,4,NO ,,,,,
SEM,DIVERSE,CLAPUR,22,7/22/24,5,D4,26.9,1,4,NO ,,,,,
SEM,DIVERSE,CLAPUR,23,7/22/24,5,E3,18.6,1,6,NO ,,,,,
SEM,DIVERSE,CLAPUR,24,7/22/24,5,E2,19,1,4,NO ,,,,,
SEM,DIVERSE,CLAPUR,25,7/22/24,7,C5,17,1,2,NO ,,,,,
SEM,DIVERSE,CLAPUR,26,7/22/24,7,D1,13.8,1,3,NO ,,,,,
SEM,DIVERSE,CLAPUR,27,7/22/24,7,C1,17.3,1,11,NO ,,,,,
SEM,DIVERSE,CLAPUR,28,7/22/24,7,C4,18.1,1,6,NO ,,,,,
SEM,DIVERSE,CLAPUR,29,7/22/24,7,C3,19.9,,18,NO ,,,,,
SEM,DIVERSE,COLLIN,1,,,,,,,,,,,,GONE
SEM,DIVERSE,COLLIN,2,7/19/24,8,D5,,1,,YES,,0.031,,,BT
SEM,DIVERSE,COLLIN,3,7/19/24,1,B5,,,3,YES,,0.031,,,
SEM,DIVERSE,COLLIN,4,7/19/24,4,E5,,1,11,YES,,0.064,,,
SEM,DIVERSE,COLLIN,5,7/19/24,1,A3,,1,6,YES,,0.025,,,
SEM,DIVERSE,COLLIN,6,7/19/24,1,D3,,1,6,YES,,0.027,,,
SEM,DIVERSE,COLLIN,7,7/19/24,3,E1,,1,8,,,0.11,,,
SEM,DIVERSE,COLLIN,8,7/19/24,1,B4,,1,6,YES,,0.086,,,
SEM,DIVERSE,COLLIN,9,7/19/24,3,D1,,1,6,no,,,,,
SEM,DIVERSE,COLLIN,10,7/19/24,3,C4,,1,10,no,,,,,
SEM,DIVERSE,COLLOM,1,,2,D5,,,,,,,,,GONE
SEM,DIVERSE,COLLOM,2,7/22/24,5,D1,8.5,1,0,YES,,0.1087,0,0,BT no fruits?
SEM,DIVERSE,COLLOM,3,7/19/24,3,C5,9.6,3,1,YES,,0.1783,0,5,BT
SEM,DIVERSE,COLLOM,4,7/19/24,4,E1,"13,7",,2,YES,,0.5235,0,8,BT
SEM,DIVERSE,COLLOM,5,7/19/24,4,D1,13.7,,2,YES,,,,,
SEM,DIVERSE,COLLOM,6,7/19/24,4,B1,10.8,,3,YES,,,,,
SEM,DIVERSE,COLLOM,7,7/19/24,4,C4,19.8,,2,YES,,,,,
SEM,DIVERSE,COLLOM,8,7/19/24,4,A3,24.2,1,4,YES,,,,,
SEM,DIVERSE,COLLOM,8,7/19/24,1,D2,12.5,1,5,YES,,,,,
SEM,DIVERSE,COLLOM,9,7/19/24,4,B3,12.1,1,1,YES,,,,,
SEM,DIVERSE,COLLOM,10,7/19/24,1,E4,5.5,1,,YES,,,,,
SEM,DIVERSE,COLLOM,11,7/19/24,4,B4,17.8,1,6,YES,,,,,
SEM,DIVERSE,COLLOM,12,7/19/24,1,A2,9.1,1,2,YES,,0.127,3,5,
SEM,DIVERSE,COLLOM,13,7/19/24,3,D3,15.2,3,3,YES,,,,,
SEM,DIVERSE,COLLOM,14,7/19/24,3,C3,13.5,1,2,YES,,0.279,0,6,BT
SEM,DIVERSE,COLLOM,15,7/19/24,3,B3,14.5,3,2,YES,,,,,
SEM,DIVERSE,COLLOM,16,7/19/24,3,A3,11.6,1,1,YES,,0.1243,5,0,
SEM,DIVERSE,COLLOM,17,7/19/24,3,A1,20.1,3,3,YES,,0.7802,16,1,BT
SEM,DIVERSE,COLLOM,18,7/19/24,8,A3,10.6,1,4,YES,,,,,
SEM,DIVERSE,COLLOM,19,7/19/24,8,B3,,1,,YES,,,,,
SEM,DIVERSE,COLLOM,20,7/19/24,8,D2,10.9,1,2,YES,,,,,
SEM,DIVERSE,COLLOM,21,7/19/24,8,C2,9.4,1,1,YES,,,,,
SEM,DIVERSE,COLLOM,22,7/22/24,2,D1,7.3,1,1,YES,,,,,
SEM,DIVERSE,COLLOM,23,7/22/24,2,D4,12.1,1,4,YES,,0.536,7,4,
SEM,DIVERSE,COLLOM,24,7/22/24,2,C2,14,1,7,YES,,0.6682,7,4,BT
SEM,DIVERSE,COLLOM,25,7/22/24,2,A4,12,1,4,YES,,,,,
SEM,DIVERSE,COLLOM,26,7/22/24,6,A1,14.2,1,4,YES,,,,,
SEM,DIVERSE,COLLOM,27,7/22/24,6,C1,9,1,2,YES,,,,,
SEM,DIVERSE,COLLOM,28,7/22/24,6,D3,11.9,,1,YES,,,,,
SEM,DIVERSE,COLLOM,29,7/22/24,6,C4,14.4,3,3,,,,,,
SEM,DIVERSE,COLLOM,30,7/22/24,6,B4,21.1,1,1,YES,,,,,
SEM,DIVERSE,COLLOM,31,7/22/24,6,A5,15.4,4,3,YES,,0.2783,9,3,
SEM,DIVERSE,COLLOM,32,7/22/24,5,B5,13.6,1,3,YES,,,,,
SEM,DIVERSE,COLLOM,33,7/22/24,5,B4,17.1,1,2,YES,,,,,
SEM,DIVERSE,COLLOM,34,7/22/24,5,A4,22.6,1,2,YES,,,,,
SEM,DIVERSE,COLLOM,35,7/22/24,5,B3,18.1,1,1,YES,,,,,
SEM,DIVERSE,COLLOM,36,7/22/24,5,A2,19.5,1,1,YES,,,,,
SEM,DIVERSE,COLLOM,37,7/22/24,5,A1,25.2,1,3,YES,,,,,
SEM,DIVERSE,COLLOM,38,7/22/24,7,B5,22.5,3,7,YES,,,,,
SEM,DIVERSE,COLLOM,39,7/22/24,7,B4,9.6,1,1,YES,,,,,
