"","focal","seeds","PLOT","PARK","A","B","C","CERGLO","CLAAMO","CLAPUR","COLLIN","COLLOM","DANDEION","DAUCAR","EPIDEN","ERILAN","GERANIUM","GILCAP","LACTUCA","MADIA","MYOSOTIS","NAVINT","NAVSQU","PLAFIG","PLECON","SHEARV","TRIFOLIUM","VICIA"
"1","CLAPUR",3,"DIVERSE","RF","0","0","0","2","0","2","3","13","0","0","11","1","0","2","1","0","0","0","15","1","0","1","0","0"
"2","CLAPUR",3,"DIVERSE","RF","0","0","0","0","0","5","17","12","0","0","6","0","0","2","0","0","0","0","3","2","3","0","0","0"
"3","CLAPUR",5,"DIVERSE","RF","0","0","0","1","0","2","4","22","0","0","11","0","0","5","0","0","0","0","4","2","4","0","0","0"
"4","CLAPUR",2,"DIVERSE","RF","0","0","0","2","0","2","12","26","0","0","23","0","0","8","0","0","0","7","9","2","2","0","0","0"
"5","CLAPUR",6,"DIVERSE","RF","0","2","0","0","0","4","16","27","0","0","17","0","0","8","2","0","0","10","5","4","1","1","0","0"
"6","CLAPUR",5,"DIVERSE","RF","0","0","0","2","0","4","12","13","0","1","12","0","0","8","1","0","0","0","1","3","0","0","0","0"
"7","CLAPUR",6,"DIVERSE","RF","0","0","0","1","0","4","24","17","0","1","10","0","0","6","0","0","0","0","7","2","1","1","0","0"
"8","CLAPUR",6,"DIVERSE","RF","0","0","0","1","0","7","5","16","0","0","6","0","0","3","0","0","0","0","2","2","1","0","0","0"
"9","CLAPUR",4,"DIVERSE","RF","0","0","0","0","0","11","10","19","0","0","12","0","0","1","1","0","0","0","9","3","0","0","0","0"
"10","CLAPUR",5,"DIVERSE","RF","0","0","0","0","0","7","4","15","0","0","8","1","0","5","1","0","0","0","7","3","0","0","0","0"
"11","CLAPUR",4,"DIVERSE","RF","0","1","0","0","0","2","6","7","0","0","1","0","0","2","2","0","0","0","7","1","1","1","0","0"
"12","CLAPUR",8,"DIVERSE","RF","0","4","0","1","0","0","1","12","0","0","12","0","0","4","0","0","1","0","18","0","0","0","0","0"
"13","CLAPUR",9,"DIVERSE","RF","0","1","0","1","0","10","1","7","0","0","10","0","0","3","0","0","0","2","18","1","0","0","0","0"
"14","CLAPUR",10,"DIVERSE","RF","0","3","0","2","0","4","5","4","0","0","15","0","0","0","1","0","0","0","7","0","0","1","0","0"
"15","CLAPUR",2,"DIVERSE","RF","0","0","0","2","0","0","6","14","0","0","10","0","0","2","0","0","0","0","43","4","4","0","0","0"
"16","CLAPUR",4,"DIVERSE","RF","0","1","0","2","0","6","2","4","0","0","13","0","0","6","0","0","0","0","17","0","0","0","0","0"
"17","CLAPUR",4,"DIVERSE","RF","0","1","3","0","0","2","0","0","0","1","26","0","2","1","1","0","0","0","3","0","0","0","0","0"
"18","CLAPUR",4,"DIVERSE","RF","0","0","0","1","0","4","4","9","0","0","14","0","0","5","0","0","1","0","12","0","0","0","0","0"
"19","CLAPUR",6,"DIVERSE","RF","0","0","0","0","0","20","3","1","0","1","14","0","0","0","0","0","2","0","0","0","0","0","0","0"
"20","CLAPUR",1,"DIVERSE","RF","1","0","0","0","0","11","0","0","0","0","25","0","0","0","0","0","0","0","1","1","0","0","0","0"
"21","CLAPUR",19,"DIVERSE","RF","0","0","0","0","0","8","0","0","0","0","36","0","0","1","0","0","4","0","0","1","0","0","0","0"
"22","COLLIN",16,"DIVERSE","RF","0","0","0","0","0","3","7","12","0","0","8","0","0","1","0","0","0","0","1","1","1","0","0","0"
"23","COLLIN",17,"DIVERSE","RF","0","0","0","1","0","2","4","22","0","0","11","0","0","5","0","0","0","0","4","2","4","0","0","0"
"24","COLLIN",28,"DIVERSE","RF","0","0","0","1","0","2","3","12","0","0","5","0","0","1","0","0","0","0","0","0","5","0","0","0"
"25","COLLIN",19,"DIVERSE","RF","0","0","0","3","0","4","13","13","0","0","8","0","0","7","2","0","0","1","9","6","6","0","0","0"
"26","COLLIN",4,"DIVERSE","RF","0","0","0","0","0","3","28","15","0","0","8","0","0","2","0","0","0","0","0","0","0","0","0","0"
"27","COLLIN",9,"DIVERSE","RF","0","0","0","0","0","3","28","15","0","0","8","0","0","2","0","0","0","0","0","0","0","0","0","0"
"28","COLLIN",14,"DIVERSE","RF","0","0","0","0","0","2","10","12","0","1","6","0","1","2","0","0","1","0","5","1","1","0","0","0"
"29","COLLIN",8,"DIVERSE","RF","0","1","0","1","0","5","13","13","0","0","9","0","0","6","0","0","0","0","6","2","0","0","0","0"
"30","COLLIN",18,"DIVERSE","RF","0","0","0","2","0","0","4","5","0","0","4","0","0","1","0","0","0","0","5","0","2","0","0","0"
"31","COLLIN",13,"DIVERSE","RF","0","0","0","0","0","11","10","19","0","0","12","0","0","1","1","0","0","0","9","3","0","0","0","0"
"32","COLLIN",8,"DIVERSE","RF","0","3","1","1","0","0","4","10","0","0","15","0","0","4","0","0","0","0","25","1","0","1","0","0"
"33","COLLIN",8,"DIVERSE","RF","1","1","0","0","0","0","3","6","0","0","4","0","0","8","0","0","0","0","17","3","0","0","0","0"
"34","COLLIN",18,"DIVERSE","RF","0","0","0","3","0","2","5","9","0","0","4","0","0","8","1","0","0","1","10","2","0","0","0","0"
"35","COLLIN",7,"DIVERSE","RF","0","0","0","0","0","2","2","11","0","1","12","0","0","10","0","0","0","1","15","0","0","0","0","0"
"36","COLLIN",9,"DIVERSE","RF","0","0","1","0","0","0","7","9","0","1","12","0","2","6","0","0","0","0","38","1","1","1","0","0"
