"","focal","seeds","PLOT","APOAND","CERGLO","CIRSIUM","CLAPUR","COLLIN","COLLOM","D","DAUCAR","EPIDEN","ERILAN","F","G","GALIUM","GERANIUM","GILCAP","HYPERNICUM","LACTUCA","LATHVIC","LEUVUL","LUPBIC","MYOSOTIS","NAVSQU","PLAFIG","PLECON","SHEARV","TRIFOLIUM","VERARV","Z"
"1","CLAPUR",16,"DIVERSE","1","0","0","3","1","2","0","0","5","0","0","0","1","0","5","0","0","0","0","0","0","14","0","0","0","0","0","1"
"2","CLAPUR",2,"DIVERSE","1","1","0","4","1","2","0","0","5","0","0","0","2","0","5","0","0","2","0","0","1","8","0","0","2","0","0","0"
"3","CLAPUR",10,"DIVERSE","0","3","0","4","2","0","0","0","0","0","0","0","5","0","2","0","0","1","0","0","3","3","0","0","8","0","0","0"
"4","CLAPUR",9,"DIVERSE","0","0","0","2","0","4","0","0","3","0","0","0","4","0","0","0","0","2","0","0","1","11","0","0","10","0","0","0"
"5","CLAPUR",10,"DIVERSE","0","0","0","2","3","4","0","0","1","0","0","0","3","0","2","0","0","2","0","0","1","8","0","0","4","0","0","0"
"6","CLAPUR",21,"DIVERSE","0","0","0","1","0","0","0","0","2","1","0","0","3","0","0","3","0","1","0","0","0","0","0","0","2","7","0","0"
"7","CLAPUR",2,"DIVERSE","0","0","0","2","1","1","0","0","5","0","0","0","3","0","4","0","0","1","0","0","0","9","1","0","0","0","0","0"
"8","CLAPUR",3,"DIVERSE","1","0","0","5","0","0","0","0","0","1","0","0","8","0","0","0","0","2","0","0","0","1","0","0","0","3","0","0"
"9","CLAPUR",37,"DIVERSE","1","0","0","4","2","3","0","0","3","0","0","0","4","0","6","0","0","2","0","0","0","3","0","0","0","0","0","0"
"10","CLAPUR",4,"DIVERSE","0","0","0","8","4","6","0","1","10","0","0","0","2","0","5","0","0","0","0","0","0","19","0","0","0","0","0","0"
"11","CLAPUR",4,"DIVERSE","0","0","0","3","1","3","0","3","3","0","0","0","1","1","1","0","0","1","1","0","1","28","0","0","2","0","0","0"
"12","CLAPUR",6,"DIVERSE","0","0","0","9","0","3","0","4","3","0","0","1","1","0","1","0","0","2","0","0","0","6","0","0","4","0","0","0"
"13","CLAPUR",2,"DIVERSE","0","0","0","3","3","1","0","1","2","0","0","0","4","0","2","0","0","5","0","0","1","15","0","0","0","0","0","0"
"14","CLAPUR",20,"DIVERSE","1","0","0","3","5","2","0","2","13","0","0","0","1","2","2","0","0","1","0","0","0","22","1","0","5","1","0","0"
"15","CLAPUR",2,"DIVERSE","3","0","1","4","3","8","0","0","9","0","0","0","4","1","3","0","0","0","0","0","1","19","0","0","13","1","0","0"
"16","CLAPUR",4,"DIVERSE","2","0","0","2","0","2","0","1","6","0","0","0","1","1","4","0","0","0","0","0","0","13","0","0","2","0","0","0"
"17","CLAPUR",10,"DIVERSE","1","3","0","8","1","3","1","0","4","0","0","0","8","0","3","0","0","1","0","0","1","10","0","0","8","2","0","0"
"18","CLAPUR",11,"DIVERSE","2","0","0","5","2","6","0","0","1","0","0","1","5","0","3","0","0","2","0","0","3","3","0","0","8","0","0","0"
"19","CLAPUR",18,"DIVERSE","0","0","0","3","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","1","8","0","0","7","0","1","0"
"20","CLAPUR",6,"DIVERSE","1","0","0","5","1","2","0","0","2","2","0","0","5","0","1","0","0","0","0","0","2","1","0","0","5","0","2","0"
"21","CLAPUR",2,"DIVERSE","0","0","0","9","1","2","0","0","1","2","0","0","7","0","3","0","0","3","0","0","4","7","0","0","10","0","0","0"
"22","CLAPUR",3,"DIVERSE","0","0","0","5","0","3","0","0","1","0","0","0","2","0","4","0","0","2","0","0","1","9","0","0","5","0","0","0"
"23","CLAPUR",10,"DIVERSE","0","0","0","6","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0"
"24","CLAPUR",6,"DIVERSE","1","0","0","2","0","1","0","0","7","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0"
"25","CLAPUR",3,"DIVERSE","1","0","0","3","0","4","0","0","8","0","0","0","5","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0"
"26","CLAPUR",4,"DIVERSE","1","0","0","4","0","0","0","0","0","1","0","0","5","0","2","0","0","0","0","0","1","6","0","0","4","0","0","0"
"27","CLAPUR",9,"DIVERSE","0","1","0","6","2","4","0","1","6","1","0","0","2","0","5","0","0","0","0","0","0","3","0","0","5","0","0","0"
"28","CLAPUR",1,"DIVERSE","0","0","0","4","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0"
"29","COLLIN",6,"DIVERSE","0","0","0","4","3","2","0","0","7","0","0","0","3","0","4","0","0","1","0","0","1","4","0","0","2","0","0","0"
"30","COLLIN",6,"DIVERSE","0","0","0","3","5","4","0","1","7","0","0","0","1","1","7","0","0","0","0","0","0","12","3","0","0","0","0","0"
"31","COLLIN",3,"DIVERSE","0","0","0","4","0","0","0","0","4","0","0","0","2","0","5","0","0","4","0","0","3","18","2","0","2","0","0","0"
"32","COLLIN",6,"DIVERSE","0","0","0","3","1","2","0","0","4","0","0","0","2","0","3","0","0","0","0","0","0","18","0","0","2","0","0","0"
"33","COLLIN",10,"DIVERSE","0","0","0","1","4","16","0","0","6","0","0","0","3","0","9","0","0","3","0","0","0","20","0","0","2","0","0","0"
"34","COLLIN",6,"DIVERSE","0","0","0","1","4","3","0","0","3","0","0","0","1","0","4","0","0","1","0","0","0","9","1","0","2","3","0","0"
"35","COLLIN",8,"DIVERSE","2","0","0","0","3","3","0","0","3","0","0","0","5","0","3","0","0","0","0","0","0","4","0","0","3","5","0","0"
"36","COLLIN",11,"DIVERSE","0","0","0","2","2","0","0","0","1","0","0","0","4","0","1","0","0","0","0","0","0","2","0","0","0","2","0","0"
"37","COLLOM",8,"DIVERSE","0","1","0","2","0","3","0","0","4","0","0","0","4","0","1","0","0","5","0","0","3","2","0","0","7","0","0","0"
"38","COLLOM",23,"DIVERSE","1","0","0","3","1","2","0","0","5","0","0","0","1","0","5","0","0","0","0","0","0","14","0","0","0","0","0","1"
"39","COLLOM",21,"DIVERSE","0","0","0","7","1","2","0","0","9","0","0","0","2","0","4","0","0","0","0","0","1","34","4","1","4","0","0","0"
"40","COLLOM",13,"DIVERSE","1","0","0","0","3","3","2","0","0","0","0","0","8","0","1","0","0","2","0","0","0","0","0","1","3","3","0","0"
"41","COLLOM",19,"DIVERSE","0","0","0","3","2","2","0","0","9","0","0","0","1","0","5","0","0","0","0","0","0","9","0","1","2","0","0","0"
"42","COLLOM",5,"DIVERSE","0","0","0","0","1","12","0","0","5","0","0","1","4","0","4","0","0","1","0","0","2","20","0","1","5","0","0","0"
"43","COLLOM",16,"DIVERSE","0","0","0","0","3","12","0","0","6","0","0","1","3","0","4","0","0","3","0","0","0","27","0","0","3","0","0","0"
"44","COLLOM",18,"DIVERSE","2","0","0","0","3","1","0","0","1","0","0","0","7","1","1","0","0","0","0","0","1","9","1","0","3","1","0","0"
"45","COLLOM",21,"DIVERSE","1","0","0","5","1","5","0","0","2","0","2","0","9","0","2","0","0","7","0","0","0","4","0","0","3","0","0","0"
"46","COLLOM",18,"DIVERSE","0","0","0","1","1","6","0","0","1","0","0","0","4","0","2","0","0","5","0","0","0","3","0","0","0","0","0","0"
"47","COLLOM",13,"DIVERSE","1","0","0","0","0","1","0","0","1","0","0","0","9","1","1","0","0","6","0","0","1","1","0","0","3","0","0","0"
"48","COLLOM",25,"DIVERSE","3","0","0","1","0","0","0","0","2","0","0","0","8","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0"
"49","COLLOM",16,"DIVERSE","1","0","0","3","2","2","0","0","5","0","0","0","7","0","1","0","0","1","0","0","0","6","0","0","0","0","0","0"
"50","COLLOM",16,"DIVERSE","0","0","0","1","1","7","0","0","1","0","0","0","5","0","3","0","0","1","0","1","0","1","0","0","0","0","0","0"
"51","COLLOM",18,"DIVERSE","3","0","0","4","1","12","1","0","1","0","2","0","8","0","3","0","0","3","0","0","0","5","0","0","3","2","0","0"
"52","COLLOM",13,"DIVERSE","0","0","0","6","0","3","0","2","0","0","0","0","9","0","0","0","0","2","0","0","0","2","0","0","3","4","0","0"
"53","COLLOM",16,"DIVERSE","1","0","0","0","0","4","0","0","1","0","1","0","10","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0"
"54","COLLOM",13,"DIVERSE","1","2","0","2","0","3","0","0","1","0","0","0","10","0","0","0","0","2","0","0","1","9","0","0","2","0","0","0"
"55","COLLOM",16,"DIVERSE","0","0","0","7","0","1","0","0","1","0","0","0","9","0","0","0","0","4","1","0","0","5","0","0","0","0","0","0"
"56","COLLOM",18,"DIVERSE","0","0","0","0","0","1","0","0","1","0","0","0","10","0","0","0","0","1","0","0","0","8","0","0","0","0","0","0"
"57","COLLOM",21,"DIVERSE","0","0","0","2","0","4","0","0","1","0","0","0","7","1","1","0","0","3","0","0","0","4","0","0","8","0","0","0"
"58","COLLOM",15,"DIVERSE","1","0","0","0","2","6","0","0","2","0","0","0","9","0","4","0","1","3","0","0","0","18","0","0","6","0","0","0"
"59","COLLOM",13,"DIVERSE","1","2","0","1","1","1","0","1","3","0","0","1","5","1","0","0","0","4","0","0","2","32","0","0","6","0","0","0"
"60","COLLOM",16,"DIVERSE","4","1","0","5","2","10","0","0","7","1","0","0","5","0","1","0","0","3","0","0","0","25","0","0","8","0","0","0"
"61","COLLOM",18,"DIVERSE","0","0","0","1","3","2","0","2","4","0","0","1","8","0","4","0","0","3","0","0","1","19","0","0","6","0","0","0"
"62","COLLOM",13,"DIVERSE","0","2","0","0","1","9","0","0","8","0","0","0","4","1","9","0","0","0","0","1","0","28","0","0","4","0","0","0"
"63","COLLOM",13,"DIVERSE","1","0","0","3","1","3","0","0","0","0","0","0","7","0","0","0","0","2","0","0","1","1","1","0","5","0","0","0"
"64","COLLOM",28,"DIVERSE","0","0","0","3","0","5","0","0","0","0","0","0","6","0","2","0","0","4","0","0","3","7","0","0","6","1","0","0"
"65","COLLOM",21,"DIVERSE","0","0","0","1","0","5","0","0","5","0","0","0","3","0","0","0","2","2","0","0","0","6","0","0","8","0","0","0"
"66","COLLOM",13,"DIVERSE","0","3","0","5","0","2","0","0","4","0","0","0","4","0","1","0","0","5","0","0","2","2","0","0","0","0","0","0"
"67","COLLOM",16,"DIVERSE","1","0","0","3","0","4","0","0","8","0","0","0","5","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0"
"68","EPIDEN",15,"DIVERSE","1","0","0","0","0","0","0","0","1","0","0","0","6","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0"
"69","EPIDEN",11,"DIVERSE","0","0","0","2","0","4","0","0","5","1","0","0","2","1","4","0","0","3","0","0","0","26","1","0","6","0","0","0"
"70","EPIDEN",3,"DIVERSE","2","0","0","1","2","3","0","0","15","0","0","0","2","0","3","0","1","3","0","0","0","17","0","0","6","0","0","0"
"71","EPIDEN",29,"DIVERSE","1","0","0","1","2","8","0","0","11","0","0","0","3","0","3","0","0","0","0","0","0","9","2","0","1","0","0","0"
"72","EPIDEN",2,"DIVERSE","0","0","0","4","0","5","0","0","9","0","0","0","5","0","5","0","0","4","0","0","0","4","0","0","10","0","0","0"
"73","EPIDEN",4,"DIVERSE","1","0","0","2","5","5","0","0","4","0","0","0","6","0","4","0","0","2","0","0","0","4","0","0","2","0","0","0"
"74","EPIDEN",9,"DIVERSE","0","0","0","8","0","3","0","0","6","0","0","0","5","1","1","0","0","0","0","0","0","27","0","1","0","0","0","0"
"75","EPIDEN",5,"DIVERSE","0","0","0","0","0","5","0","3","4","0","0","0","5","0","3","0","0","0","0","0","0","17","0","0","0","0","0","0"
"76","GILCAP",1,"DIVERSE","1","1","0","10","0","3","0","1","8","0","0","0","2","0","6","0","0","1","0","0","6","3","0","0","9","0","0","0"
"77","GILCAP",6,"DIVERSE","0","1","0","3","1","7","0","0","0","0","0","0","3","0","6","0","0","4","0","0","0","6","0","0","2","0","0","0"
"78","GILCAP",2,"DIVERSE","0","1","0","1","2","0","0","0","0","0","0","0","2","0","4","0","0","4","0","0","3","36","0","0","4","0","0","0"
"79","GILCAP",3,"DIVERSE","0","0","0","2","1","4","0","0","2","0","0","0","1","0","4","0","0","4","0","0","1","2","0","0","2","0","0","0"
"80","GILCAP",3,"DIVERSE","0","0","0","3","1","2","0","0","8","0","0","0","2","0","2","0","0","1","0","0","0","18","0","0","0","0","0","0"
"81","GILCAP",24,"DIVERSE","0","0","0","0","1","4","0","0","7","0","0","0","2","0","5","0","0","0","0","0","0","9","5","0","2","0","0","0"
"82","GILCAP",1,"DIVERSE","2","0","0","2","0","9","0","0","3","0","0","1","2","0","4","0","0","1","0","0","0","9","0","0","5","0","0","0"
"83","GILCAP",5,"DIVERSE","1","0","0","2","1","10","0","0","6","0","0","0","2","1","4","0","0","3","0","0","1","5","0","0","5","0","0","0"
"84","GILCAP",5,"DIVERSE","1","0","0","0","1","6","0","0","0","0","0","0","5","0","2","0","0","2","0","0","0","7","0","0","2","0","0","0"
"85","GILCAP",4,"DIVERSE","1","0","0","4","0","4","0","0","4","0","0","0","2","0","4","0","0","0","0","0","1","15","0","0","2","4","0","0"
"86","GILCAP",6,"DIVERSE","1","0","0","1","2","2","1","0","2","0","0","0","4","0","1","0","0","1","0","0","0","2","0","0","7","1","0","0"
"87","GILCAP",7,"DIVERSE","1","1","0","2","0","1","0","1","1","0","0","0","10","1","3","0","0","2","0","0","0","1","0","0","1","0","0","0"
"88","GILCAP",10,"DIVERSE","0","0","0","1","0","3","0","1","2","0","0","0","9","2","1","0","1","1","0","0","2","11","0","0","2","0","0","0"
"89","GILCAP",2,"DIVERSE","0","0","0","4","0","3","0","1","5","0","0","0","8","0","4","0","0","0","0","0","0","10","0","0","0","0","0","0"
"90","GILCAP",15,"DIVERSE","0","0","0","2","0","0","0","4","4","0","0","0","5","0","2","0","0","1","0","0","0","14","0","0","0","0","0","0"
"91","GILCAP",21,"DIVERSE","0","0","0","0","0","5","0","3","4","0","0","0","5","0","3","0","0","0","0","0","0","17","0","0","0","0","0","0"
"92","GILCAP",3,"DIVERSE","1","0","0","3","0","1","0","0","0","0","0","0","8","0","1","0","0","3","0","0","1","4","0","0","12","0","0","0"
"93","GILCAP",2,"DIVERSE","1","0","0","2","0","8","0","0","4","0","0","0","7","0","2","0","0","2","0","0","3","23","0","0","8","0","0","0"
"94","GILCAP",4,"DIVERSE","1","0","0","3","2","1","0","2","1","1","0","0","8","1","5","0","0","4","0","0","0","17","2","0","6","0","0","0"
"95","GILCAP",4,"DIVERSE","2","0","1","1","2","1","0","0","3","0","0","0","3","0","1","0","1","4","0","0","1","12","0","0","6","0","0","0"
"96","GILCAP",10,"DIVERSE","0","0","0","1","2","6","0","0","13","0","0","0","3","0","5","0","0","0","0","0","0","34","0","0","4","0","0","0"
"97","GILCAP",1,"DIVERSE","1","0","0","13","0","2","0","0","3","0","0","0","7","0","1","0","0","1","0","0","1","4","3","0","8","0","0","0"
"98","GILCAP",1,"DIVERSE","1","0","0","6","0","8","1","0","2","1","0","0","2","0","4","1","0","3","0","0","5","13","0","0","10","1","0","0"
"99","GILCAP",2,"DIVERSE","2","0","0","6","1","4","0","1","10","3","0","0","4","0","5","0","0","1","0","0","1","33","0","0","12","1","1","0"
"100","GILCAP",1,"DIVERSE","0","1","0","3","2","3","1","0","0","1","0","0","4","1","4","0","1","1","1","0","1","4","0","0","15","1","0","0"
"101","GILCAP",2,"DIVERSE","1","1","0","6","0","1","0","1","2","0","0","0","1","0","4","0","0","0","0","0","0","2","0","0","6","0","0","0"
"102","GILCAP",15,"DIVERSE","1","1","0","3","0","1","0","2","0","0","0","0","3","0","1","0","0","1","0","0","0","0","0","0","15","0","0","0"
"103","GILCAP",6,"DIVERSE","0","0","0","5","1","1","0","0","2","4","0","0","2","0","3","0","0","0","0","0","4","4","0","0","4","0","0","0"
"104","GILCAP",11,"DIVERSE","0","2","0","10","1","0","0","1","1","0","0","0","5","0","3","0","0","0","0","0","4","9","0","0","0","0","0","0"
"105","NAVSQU",13,"DIVERSE","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","1","7","0","0","1","0","0","0"
"106","NAVSQU",13,"DIVERSE","0","0","0","4","0","0","0","0","1","0","0","0","3","0","1","0","0","2","0","0","0","11","0","0","1","0","0","0"
"107","NAVSQU",35,"DIVERSE","1","0","0","2","0","2","0","0","4","0","0","0","2","0","2","0","0","2","0","0","0","5","0","0","0","0","0","0"
"108","NAVSQU",13,"DIVERSE","2","0","0","2","2","4","0","0","7","0","0","0","1","0","3","0","0","0","0","0","0","11","1","0","1","0","0","0"
"109","NAVSQU",13,"DIVERSE","0","0","0","3","1","2","0","0","4","0","0","0","2","0","3","0","0","0","0","0","0","18","0","0","2","0","0","0"
"110","NAVSQU",17,"DIVERSE","0","0","0","0","2","0","0","1","1","0","0","0","6","0","1","0","0","1","0","0","2","4","0","0","2","0","0","0"
"111","NAVSQU",8,"DIVERSE","1","0","0","1","0","0","0","0","3","0","0","0","4","0","2","0","0","0","0","0","0","11","0","0","0","0","0","0"
"112","NAVSQU",13,"DIVERSE","0","0","0","0","2","0","0","0","2","0","0","1","2","0","1","0","0","3","0","0","2","6","0","0","7","4","0","0"
"113","NAVSQU",21,"DIVERSE","0","0","0","0","0","0","0","0","6","1","0","0","2","1","5","0","1","2","0","0","0","4","0","0","7","2","0","0"
"114","NAVSQU",13,"DIVERSE","3","2","0","4","0","2","0","1","8","0","0","0","2","0","5","0","0","2","0","0","1","15","0","0","0","2","0","0"
"115","NAVSQU",42,"DIVERSE","1","0","0","1","0","0","1","0","2","1","0","0","4","0","0","0","0","2","0","0","0","1","0","0","2","2","0","0"
"116","NAVSQU",2,"DIVERSE","1","0","0","0","5","9","0","0","2","0","0","0","5","1","5","0","0","1","0","0","1","12","0","0","12","0","0","0"
"117","NAVSQU",13,"DIVERSE","0","0","0","0","0","5","0","0","0","0","0","1","3","0","1","0","0","1","0","0","1","5","0","0","5","1","0","0"
"118","NAVSQU",13,"DIVERSE","1","2","0","0","2","11","0","0","3","0","0","0","3","0","7","0","0","0","0","0","0","1","35","0","2","0","0","0"
"119","NAVSQU",13,"DIVERSE","2","0","0","1","4","7","0","0","3","0","0","0","1","0","5","0","0","1","0","0","0","9","2","0","3","0","0","0"
"120","NAVSQU",226,"DIVERSE","1","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0"
"121","NAVSQU",13,"DIVERSE","1","0","0","1","0","3","0","1","0","0","0","0","5","1","0","0","0","2","0","0","0","1","0","0","3","0","0","0"
"122","NAVSQU",13,"DIVERSE","2","0","0","2","0","0","0","0","2","0","0","0","7","0","1","0","0","3","0","0","1","0","0","0","4","0","0","0"
"123","NAVSQU",13,"DIVERSE","0","0","0","3","0","10","0","0","1","0","0","1","4","0","5","0","0","2","0","0","0","10","0","0","2","0","0","0"
"124","NAVSQU",54,"DIVERSE","0","0","0","2","2","0","0","0","1","0","0","0","4","0","1","0","0","0","0","0","0","2","0","0","0","2","0","0"
"125","NAVSQU",13,"DIVERSE","0","1","0","2","0","0","0","0","0","1","0","0","9","0","1","0","0","0","0","0","0","7","0","0","0","1","0","0"
"126","NAVSQU",18,"DIVERSE","2","0","0","1","0","1","0","2","3","0","0","0","5","0","0","0","0","1","0","0","0","27","0","0","12","0","0","0"
"127","NAVSQU",32,"DIVERSE","1","1","0","11","1","3","0","3","7","0","0","0","2","0","5","0","0","0","0","0","0","16","0","0","1","0","0","0"
"128","NAVSQU",16,"DIVERSE","0","0","0","1","0","1","0","0","14","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","3","0","0","0"
"129","NAVSQU",13,"DIVERSE","0","0","0","0","0","6","0","0","1","0","0","0","6","0","2","0","0","3","0","0","2","3","0","0","0","0","0","0"
"130","NAVSQU",61,"DIVERSE","0","0","0","2","3","8","0","0","5","0","0","0","1","0","5","0","0","0","0","0","0","53","0","0","3","2","0","0"
