"","focal","seeds","PLOT","PARK","A","ACMAME","B","C","CERGLO","CLAPUR","COLLIN","COLLOM","D","DAUCAR","DICCON","E","EPIDEN","ERILAN","F","G","GERANIUM","GILCAP","LACTUCA","LEUVUL","LINBIE","MYOSOTIS","NAVSQU","PLAFIG","PLECON","sedge","SHEARV","TRIFOLIUM","VERARV","VICIA"
"1","CLAPUR",4,"DIVERSE","WIR","0","0","0","1","1","24","1","3","0","2","0","0","2","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0"
"2","CLAPUR",4,"DIVERSE","WIR","1","0","0","3","0","12","1","4","0","3","0","0","1","0","0","0","0","4","1","0","0","1","17","1","1","0","0","0","0","5"
"3","CLAPUR",3,"DIVERSE","WIR","0","0","0","0","0","15","2","1","0","0","0","0","4","0","0","0","0","2","0","0","0","1","0","0","2","13","0","0","0","2"
"4","CLAPUR",6,"DIVERSE","WIR","0","0","0","0","2","16","2","2","1","0","0","0","4","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","1"
"5","CLAPUR",7,"DIVERSE","WIR","0","0","1","0","0","24","1","2","2","4","0","0","2","0","0","0","0","3","0","0","0","2","0","0","0","0","1","0","0","0"
"6","CLAPUR",6,"DIVERSE","WIR","0","0","1","0","0","12","0","2","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","CLAPUR",2,"DIVERSE","WIR","1","0","0","0","0","13","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","1","2"
"8","CLAPUR",7,"DIVERSE","WIR","1","0","1","0","2","12","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0"
"9","CLAPUR",2,"DIVERSE","WIR","0","0","1","0","2","26","0","6","0","5","0","0","0","0","0","0","0","3","1","0","0","0","5","0","0","0","2","0","0","0"
"10","CLAPUR",4,"DIVERSE","WIR","0","0","1","0","0","9","1","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"11","CLAPUR",2,"DIVERSE","WIR","0","0","1","0","0","29","3","6","2","8","0","0","0","0","0","0","0","0","0","0","0","0","8","2","0","0","1","0","1","0"
"12","CLAPUR",2,"DIVERSE","WIR","0","0","0","0","0","15","1","7","0","3","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","1","0"
"13","CLAPUR",5,"DIVERSE","WIR","0","0","0","0","2","12","1","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1"
"14","CLAPUR",4,"DIVERSE","WIR","0","0","0","0","1","14","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"15","CLAPUR",16,"DIVERSE","WIR","1","0","0","0","2","11","2","4","0","1","0","0","0","0","0","0","0","3","0","0","0","2","5","1","0","0","2","0","0","0"
"16","CLAPUR",5,"DIVERSE","WIR","3","0","0","0","0","26","2","6","1","0","0","0","0","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0"
"17","CLAPUR",2,"DIVERSE","WIR","0","0","0","0","0","33","3","1","0","1","0","0","1","0","0","0","0","2","0","0","0","1","10","0","1","0","0","0","0","0"
"18","CLAPUR",4,"DIVERSE","WIR","3","0","0","1","0","12","2","4","0","2","0","0","0","0","0","0","0","3","0","0","0","2","7","0","0","0","0","0","0","0"
"19","CLAPUR",6,"DIVERSE","WIR","4","0","0","0","0","18","0","8","0","6","0","0","6","0","0","0","0","1","1","0","0","4","8","0","0","0","1","0","0","0"
"20","CLAPUR",2,"DIVERSE","WIR","0","0","2","0","0","29","0","0","2","8","0","0","0","0","0","0","0","5","0","0","0","2","3","0","0","0","3","0","0","0"
"21","CLAPUR",5,"DIVERSE","WIR","1","0","2","0","1","34","1","0","0","10","0","0","0","0","0","0","1","4","0","0","0","2","0","0","0","0","4","0","0","0"
"22","CLAPUR",5,"DIVERSE","WIR","4","0","0","0","2","29","0","0","1","3","0","0","0","0","0","0","0","2","0","0","0","0","8","0","0","0","0","0","0","0"
"23","CLAPUR",13,"DIVERSE","WIR","4","0","0","1","2","11","0","3","0","5","0","0","1","0","0","0","0","1","0","0","0","0","4","0","0","0","8","0","0","1"
"24","CLAPUR",7,"DIVERSE","WIR","6","0","0","2","2","16","1","0","0","6","0","0","4","0","0","0","0","1","4","0","0","1","10","0","1","0","0","0","0","2"
"25","CLAPUR",7,"DIVERSE","WIR","2","0","0","1","0","7","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","3","4","0","0","0","3","0","0","1"
"26","CLAPUR",4,"DIVERSE","WIR","9","0","1","0","0","11","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","22","0","1","0","1","0","0","0"
"27","CLAPUR",4,"DIVERSE","WIR","5","0","2","1","0","13","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0"
"28","CLAPUR",2,"DIVERSE","WIR","2","0","0","0","0","18","0","0","0","2","0","0","3","0","0","0","0","2","3","0","0","0","12","0","0","0","1","0","0","0"
"29","CLAPUR",4,"DIVERSE","WIR","3","0","0","1","0","6","0","0","0","5","0","0","0","0","0","0","0","3","0","0","0","2","46","0","0","0","7","0","0","0"
"30","CLAPUR",26,"DIVERSE","WIR","0","0","0","0","0","2","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","38","0","0","0","0","0","0","0"
"31","CLAPUR",5,"DIVERSE","WIR","0","0","0","0","0","8","0","1","0","5","0","0","0","0","0","0","0","0","1","0","0","2","19","0","0","0","0","0","0","0"
"32","CLAPUR",6,"DIVERSE","WIR","5","0","0","0","0","10","0","0","0","6","0","0","1","0","0","0","0","1","0","0","0","0","5","0","0","0","1","0","0","1"
"33","CLAPUR",3,"DIVERSE","WIR","0","0","0","0","0","7","5","0","2","3","0","0","1","0","0","0","0","3","0","0","0","2","52","0","0","0","1","0","0","0"
"34","CLAPUR",2,"DIVERSE","WIR","9","0","0","0","4","18","2","0","1","5","0","0","6","0","0","0","0","2","0","0","0","6","38","0","0","0","3","0","0","1"
"35","CLAPUR",10,"DIVERSE","WIR","0","0","0","0","1","7","0","0","0","4","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","2","0","0","0"
"36","CLAPUR",17,"DIVERSE","WIR","0","0","0","0","1","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0"
"37","CLAPUR",25,"DIVERSE","WIR","6","0","0","0","3","5","0","0","0","7","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","5","0","0","0"
"38","CLAPUR",5,"DIVERSE","WIR","0","0","0","1","0","3","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","2","24","0","0","0","7","0","0","0"
"39","CLAPUR",21,"DIVERSE","WIR","0","4","0","1","2","5","0","0","2","4","0","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","2","0"
"40","CLAPUR",15,"DIVERSE","WIR","0","0","0","0","2","5","0","0","0","4","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","1","0","0","0"
"41","CLAPUR",5,"DIVERSE","WIR","0","0","1","0","0","12","0","0","0","3","0","0","0","0","0","0","0","0","1","2","0","0","15","0","0","0","4","0","0","0"
"42","CLAPUR",2,"DIVERSE","WIR","0","1","0","0","0","7","1","0","0","3","0","0","1","0","0","0","0","0","3","0","0","0","6","0","0","0","1","0","0","0"
"43","CLAPUR",21,"DIVERSE","WIR","0","0","0","0","0","9","0","0","0","2","0","0","0","0","1","0","0","0","3","0","0","1","13","0","0","0","1","0","4","0"
"44","CLAPUR",5,"DIVERSE","WIR","0","0","0","0","2","12","2","0","0","4","0","0","4","0","0","0","0","3","0","0","0","0","30","0","0","0","1","0","3","0"
"45","CLAPUR",5,"DIVERSE","WIR","2","0","0","0","1","3","3","0","0","7","0","0","7","0","0","0","0","3","0","0","0","0","40","1","0","0","0","0","2","0"
"46","CLAPUR",18,"DIVERSE","WIR","0","0","0","0","1","15","2","0","0","3","0","0","3","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0"
"47","CLAPUR",14,"DIVERSE","WIR","0","0","0","0","0","8","1","0","0","4","0","0","2","0","0","0","0","3","0","0","0","0","20","0","0","0","2","0","0","0"
"48","CLAPUR",4,"DIVERSE","WIR","0","0","0","0","0","19","2","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1"
